,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,atomic_radius_neg_charged_s,atomic_radius_neg_charged_p,atomic_radius_neg_charged_d,atomic_radius_neg_charged,atomic_radius_neg_half_charged_s,atomic_radius_neg_half_charged_p,atomic_radius_neg_half_charged_d,atomic_radius_neg_half_charged,atomic_radius_s,atomic_radius_p,atomic_radius_d,atomic_radius,atomic_radius_half_charged_s,atomic_radius_half_charged_p,atomic_radius_half_charged_d,atomic_radius_half_charged,atomic_radius_charged_s,atomic_radius_charged_p,atomic_radius_charged_d,atomic_radius_charged
0,H,1.0,-1.0541825490111554e-18,-1.0541825490111554e-18,-1.0541825490111554e-18,-1.0541825490111554e-18,-3.310683319681256e-19,1.936417653649284e-18,-3.033817562082048e-19,1.9554822005123333e-18,0.64415,,,0.64415,0.60645,,,0.60645,0.55775,,,0.55775,0.5145500000000001,,,0.5145500000000001,0.52875,,,0.52875
1,He,2.0,-2.85816292826064e-18,-2.85816292826064e-18,3.1452649678248963e-19,3.1452649678248963e-19,3.515808583167717e-19,4.5068083935724975e-18,3.4039684267854724e-19,4.4790433589318594e-18,2.86485,,,2.86485,2.78785,,,2.78785,0.29655,,,0.29655,0.28035,,,0.28035,0.26695,,,0.26695
2,Li,3.0,-4.494313704304703e-19,-4.494313704304703e-19,-4.494313704304703e-19,-4.494313704304703e-19,-8.210029013256131e-20,8.266625729670478e-19,-8.111980448772481e-20,8.350688743505471e-19,2.05605,,,2.05605,1.85635,,,1.85635,1.6841500000000005,,,1.6841500000000005,1.57445,,,1.57445,0.19135,,,0.19135
3,Be,4.0,-9.725756828307072e-19,-9.725756828307072e-19,-2.3601663801004803e-19,-2.3601663801004803e-19,1.9577264410825244e-19,1.567082176782981e-18,2.0859858949829768e-19,1.5625820299701697e-18,1.16365,,1.7248500000000002,1.7248500000000002,1.12275,1.4972500000000002,,1.4972500000000002,1.08065,,,1.08065,1.0438500000000002,,,1.0438500000000002,1.01655,,,1.01655
4,B,5.0,-1.6795505363482942e-18,-5.129064037933249e-19,-5.129064037933249e-19,-5.129064037933249e-19,3.97785994368732e-20,1.2188226985126196e-18,5.589673794647041e-20,1.1943794120376385e-18,0.81445,,0.97205,0.97205,0.81005,0.91385,,0.91385,0.80105,0.86695,,0.86695,0.7877500000000001,0.8198500000000001,,0.8198500000000001,0.77135,0.76985,,0.77135
5,C,6.0,-2.4659693176082494e-18,-8.239497686021951e-19,-8.239497686021951e-19,-8.239497686021951e-19,-1.3489881886230096e-19,1.6780590847118225e-18,-1.177167228600384e-19,1.6545341505911237e-18,0.64785,,0.67855,0.67855,0.64515,0.66795,,0.66795,0.64025,0.65095,,0.65095,0.63315,0.62825,,0.62825,0.62455,0.6012500000000001,,0.6012500000000001
6,N,7.0,-1.1739821014782337e-18,-1.1739821014782337e-18,-1.1739821014782337e-18,-1.1739821014782337e-18,-3.508389169727571e-19,2.1785625584702523e-18,-3.30537047754144e-19,2.1560763156131137e-18,0.5438500000000001,,0.53695,0.53695,0.54055,0.5327500000000001,,0.5327500000000001,0.53525,0.5226500000000001,,0.5226500000000001,0.5285500000000001,0.50785,,0.50785,0.52085,0.49025,,0.49025
7,O,8.0,-1.5680903131924802e-18,-1.5680935175457214e-18,5.570175305171906e-19,-1.5680935175457214e-18,-6.111350570940711e-19,2.7225466414094687e-18,-5.876879975691647e-19,2.7007058164982793e-18,0.46605,,0.44915,0.44915,0.46375,0.44515,,0.44515,0.46035,0.43705,,0.43705,0.45585,0.42595,,0.42595,0.45095,0.41375,,0.41365
8,F,9.0,-2.0096758247108933e-18,-2.0096758247108933e-18,3.480712686921792e-19,-2.0096758247108933e-18,-9.126071467842491e-19,3.3074627944373163e-18,-8.862071477332417e-19,3.2871937837784648e-18,0.40805,,0.38745,0.38745,0.40635,0.38215,,0.38205,0.40405,0.37495,,0.37495,0.40125,0.36735,,0.36725,0.39835,0.35985,,0.35995
9,Ne,10.0,-2.4934867010704896e-18,-2.4934867010704896e-18,5.301410177032703e-19,5.301410177032703e-19,3.26995339882788e-19,3.9355517687437235e-18,3.193362309981312e-19,3.915825404892173e-18,2.43805,,,2.43805,2.37765,,,2.37765,0.36025,0.32895,,0.32895,0.35815,0.32495,,0.32495,0.35585,0.32135,,0.32135
