,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
0,H,1.0,-1.397504966199283e-18,-1.397504966199283e-18,2.293884333297984e-19,2.293884333297984e-19,-8.09887130764169e-20,2.1864973958685374e-18,-9.450599015450881e-20,2.226759541592947e-18,0.64415,,,0.64415,0.57675,,,0.57675,0.52315,,,0.52315,0.49365,,,0.49365,0.52885,,,0.52885,0.64415,,,0.64415,0.6555500000000001,,,0.57675,,,,2.64375,,,,2.18795,0.52885,,,0.52885
1,He,2.0,-2.8581661326138818e-18,-2.8581661326138818e-18,3.1452489460586883e-19,3.1452489460586883e-19,3.1401291956176694e-19,3.924854029159711e-18,2.986985939456064e-19,3.9822388301775755e-18,2.85195,,,2.85195,2.79155,,,2.79155,0.29655,,,0.29655,0.27495,,,0.27495,0.25945,,,0.25945,2.54615,,,2.85195,2.55795,,,2.79155,0.29655,,,0.29655,0.28805,,,0.27495,,,,1.1562500000000002
2,Li,3.0,-5.467395674947584e-19,-5.467395674947584e-19,-1.4273791514707198e-19,-1.4273791514707198e-19,-1.9671347589775118e-20,8.890915154777865e-19,-2.73123048547776e-20,9.028553649999744e-19,2.05605,,,2.05605,1.82015,,,1.82015,1.6162500000000002,,,1.6162500000000002,1.55265,,,1.55265,0.19135,,,0.19135,2.05605,,,2.05605,1.88115,,,1.82015,1.47015,,,1.6162500000000002,1.50025,,,1.55265,0.19135,,,0.19135
3,Be,4.0,-9.725756828307072e-19,-9.725756828307072e-19,-2.3601663801004803e-19,-2.3601663801004803e-19,1.6616960228400098e-19,1.436375482977653e-18,1.755569010475392e-19,1.4419140977746176e-18,1.16905,1.69585,,1.69585,1.1238500000000002,1.4843500000000005,,1.4843500000000005,1.08065,,,1.08065,1.0356500000000002,,,1.0356500000000002,1.0036500000000002,,,1.0036500000000002,1.15895,1.69585,,1.69585,1.12145,1.4843500000000005,,1.4843500000000005,1.08065,,,1.08065,1.05245,,,1.0356500000000002,0.99965,,,1.0036500000000002
4,B,5.0,-1.5405985645561728e-18,-6.114530833854913e-19,-3.700851754619712e-19,-6.114530833854913e-19,-6.561900795778136e-20,1.2778200851498962e-18,-5.315701592490241e-20,1.2601167187890625e-18,0.81705,0.94695,,0.94695,0.81065,0.90095,,0.90095,0.80055,0.85895,,0.85895,0.78695,0.81565,,0.81565,0.7714500000000001,0.76985,,0.7714500000000001,0.8187500000000001,,,0.94695,0.8129500000000001,0.90095,,0.90095,0.8028500000000001,0.85895,,0.85895,0.7886500000000001,0.81565,,0.81565,0.7714500000000001,0.76985,,0.7714500000000001
5,C,6.0,-2.0856141900069497e-18,-1.0530802514960449e-18,-4.301988422743873e-19,-1.0530802514960449e-18,-3.4858889398676616e-19,1.8898467524599942e-18,-3.361719029294976e-19,1.8733273899275712e-18,0.64895,0.6718500000000001,,0.6718500000000001,0.64485,0.65935,,0.65925,0.63895,0.6415500000000001,,0.6415500000000001,0.6314500000000001,0.6194500000000001,,0.6194500000000001,0.62305,0.59465,,0.59465,0.65715,,,0.6718500000000001,0.65245,0.65935,,0.65925,0.6455500000000001,0.6415500000000001,,0.6415500000000001,0.63665,0.6194500000000001,,0.6194500000000001,0.62665,0.59465,,0.59465
6,N,7.0,-1.5698687292415681e-18,-1.5698687292415681e-18,-4.389947919225792e-19,-4.389947919225792e-19,1.8304540023206013e-19,2.574383365133017e-18,1.9961037865560962e-19,2.5609815955749316e-18,0.54125,0.5276500000000001,,0.52775,0.53825,0.5226500000000001,,0.5226500000000001,0.53345,0.51275,,0.51275,0.52615,0.49775,,0.49775,0.51865,0.48135,,0.48135,0.55135,,,0.52775,0.54955,0.5226500000000001,,0.5226500000000001,0.54555,0.51275,,0.51275,0.53585,0.49775,,0.49775,0.52595,0.48135,,0.48135
7,O,8.0,-1.968902031888153e-18,-1.0502219684045377e-18,5.35384941783149e-19,-1.0502219684045377e-18,-2.5732158210572507e-19,1.9971478797183484e-18,-2.3733042283910405e-19,1.978640061389376e-18,0.46435,0.44325,,0.44335,0.46175,0.43735,,0.43745,0.45815,0.42835,,0.42835,0.45375,0.41705,,0.41705,0.44885,0.40515,,0.40515,0.46835,0.44325,,0.44335,0.46715,0.43735,,0.43745,0.46465,0.42835,,0.42835,0.46115,0.41705,,0.41705,0.45695,0.40515,,0.40515
8,F,9.0,-2.262842161269984e-18,-1.7308281990969984e-18,3.421287956056321e-19,-1.7308281990969984e-18,-7.806606704769085e-19,2.8482679886308017e-18,-7.564068087991298e-19,2.831456246168525e-18,0.40805,0.38735,,0.38735,0.40585,0.37975,,0.37965,0.40315,0.37125,,0.37135,0.40015,0.36315,,0.36315,0.39715,0.35575,,0.35585,0.40805,0.38735,,0.38735,0.40705,0.37975,,0.37965,0.40525,0.37125,,0.37135,0.40295,0.36315,,0.36315,0.40045,0.35575,,0.35585
9,Ne,10.0,-2.4934867010704896e-18,-2.4934867010704896e-18,5.301410177032703e-19,5.301410177032703e-19,2.871865210557275e-19,3.773102683666633e-18,2.7925618065219844e-19,3.755997071731028e-18,2.43595,,,2.43595,2.36755,,,2.36755,0.36025,0.32895,,0.32895,0.35785,0.32415,,0.32415,0.35525,0.32035,,0.32025,2.34615,,,2.43595,2.29525,,,2.36755,0.36025,0.32895,,0.32895,0.35855,0.32415,,0.32415,0.35655,0.32035,,0.32025
