,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,atomic_radius_neg_charged_s,atomic_radius_neg_charged_p,atomic_radius_neg_charged_d,atomic_radius_neg_charged,atomic_radius_neg_half_charged_s,atomic_radius_neg_half_charged_p,atomic_radius_neg_half_charged_d,atomic_radius_neg_half_charged,atomic_radius_s,atomic_radius_p,atomic_radius_d,atomic_radius,atomic_radius_half_charged_s,atomic_radius_half_charged_p,atomic_radius_half_charged_d,atomic_radius_half_charged,atomic_radius_charged_s,atomic_radius_charged_p,atomic_radius_charged_d,atomic_radius_charged
0,H,1.0,-1.0396427961773955e-18,-1.0396427961773955e-18,-1.0396427961773955e-18,-1.0396427961773955e-18,-2.6645352184511203e-19,2.0030182572126365e-18,-2.321057248786752e-19,2.0317826577246918e-18,0.62725,,,0.62725,0.59265,,,0.59265,0.54335,,,0.54335,0.49945,,,0.49945,0.52885,,,0.52885
1,He,2.0,-2.5256744293823613e-18,-2.5256744293823613e-18,2.8070935484726404e-19,2.8070935484726404e-19,3.4057724946756075e-19,4.321205231906679e-18,3.2902299084748804e-19,4.285796825814067e-18,2.86345,,,2.86345,2.77415,,,2.77415,0.29645,,,0.29645,0.27905,,,0.27905,0.26475,,,0.26475
2,Li,3.0,-4.499424647725058e-19,-4.499424647725058e-19,-4.499424647725058e-19,-4.499424647725058e-19,-6.751449646248315e-20,8.477758032519384e-19,-6.55226150842368e-20,8.567591414429376e-19,2.05485,,,2.05485,1.83455,,,1.83455,1.65745,,,1.65745,1.55425,,,1.55425,0.19085,,,0.19085
3,Be,4.0,-8.933784902879425e-19,-8.933784902879425e-19,-3.100564240104576e-19,-3.100564240104576e-19,1.5394351576214342e-19,1.5272677906003917e-18,1.6882295271031681e-19,1.5211241077303486e-18,1.1699500000000005,,1.61075,1.61075,1.12545,1.3824500000000002,,1.3824500000000002,1.08115,,,1.08115,1.0411500000000002,,,1.0411500000000002,1.01245,,,1.01245
4,B,5.0,-1.5071915798358718e-18,-5.712688915592065e-19,-5.712688915592065e-19,-5.712688915592065e-19,1.5693954430625974e-20,1.3270911224419632e-18,3.3911670355852804e-20,1.3015329844367425e-18,0.8179500000000001,,0.91995,0.91995,0.8127500000000001,0.87695,,0.87695,0.8027500000000001,0.83475,,0.83475,0.78835,0.7887500000000001,,0.7887500000000001,0.77125,0.73945,,0.77125
5,C,6.0,-2.200956487114964e-18,-8.445569642989248e-19,-8.445569642989248e-19,-8.445569642989248e-19,-1.2418694571568608e-19,1.74584569232012e-18,-1.0499544049088641e-19,1.7208274126299648e-18,0.65005,,0.66355,0.6636500000000001,0.64715,0.6536500000000001,,0.6536500000000001,0.64185,0.63665,,0.63665,0.63435,0.61355,,0.61355,0.6253500000000001,0.5861500000000001,,0.5861500000000001
6,N,7.0,-1.1352655034366016e-18,-1.1352655034366016e-18,-1.1352655034366016e-18,-1.1352655034366016e-18,-2.871752547099892e-19,2.181596177843215e-18,-2.6497437825438724e-19,2.157375680852583e-18,0.54445,,0.52935,0.52935,0.54125,0.52545,,0.52535,0.53605,0.51535,,0.51535,0.52915,0.5003500000000001,,0.5003500000000001,0.52135,0.48255,,0.48255
7,O,8.0,-1.446683777574739e-18,-1.446683777574739e-18,5.006385374078594e-19,-1.446683777574739e-18,-4.751234813872415e-19,2.636291029001955e-18,-4.494730270226111e-19,2.6122624626768772e-18,0.46605,,0.44465,0.44465,0.46415,0.44105,,0.44115,0.46085,0.43325,,0.43335,0.45645,0.42235,,0.42225,0.45145,0.41005,,0.41015
8,F,9.0,-1.7801832499007426e-18,-1.7801832499007426e-18,2.87839040809824e-19,-1.7801832499007426e-18,-6.874417631156947e-19,3.1039619062092777e-18,-6.53353206372653e-19,3.0844559563590533e-18,0.40785,,0.38565,0.38565,0.40655,0.38085,,0.38095,0.40435,0.37405,,0.37405,0.40165,0.36625,,0.36635,0.39885,0.35885,,0.35885
9,Ne,10.0,-2.1362974452293373e-18,-2.1362974452293373e-18,4.407684014418047e-19,4.407684014418047e-19,3.0936361063590324e-19,3.6025919436299384e-18,3.050528264236992e-19,3.5800572504711175e-18,2.42315,,,2.42315,2.33765,,,2.33765,0.36035,0.32915,,0.32915,0.35835,0.32495,,0.32495,0.35615,0.32125,,0.32125
10,Na,11.0,-4.2815446490624644e-19,-4.2815446490624644e-19,-4.2815446490624644e-19,-4.2815446490624644e-19,-6.635020483787641e-20,8.235102059988381e-19,-6.433219785498241e-20,8.2073420012424965e-19,2.11695,,,2.11695,1.91885,,,1.91885,1.76215,,,1.76215,1.6526500000000002,,,1.6526500000000002,0.32115,0.28655,,0.28655
