,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,atomic_radius_neg_charged_s,atomic_radius_neg_charged_p,atomic_radius_neg_charged_d,atomic_radius_neg_charged,atomic_radius_neg_half_charged_s,atomic_radius_neg_half_charged_p,atomic_radius_neg_half_charged_d,atomic_radius_neg_half_charged,atomic_radius_s,atomic_radius_p,atomic_radius_d,atomic_radius,atomic_radius_half_charged_s,atomic_radius_half_charged_p,atomic_radius_half_charged_d,atomic_radius_half_charged,atomic_radius_charged_s,atomic_radius_charged_p,atomic_radius_charged_d,atomic_radius_charged
0,H,1.0,-1.053655432902912e-18,-1.053655432902912e-18,-1.053655432902912e-18,-1.053655432902912e-18,-3.625463083192676e-19,1.9035194111443613e-18,-3.3547495609944967e-19,1.9216330150446917e-18,0.64385,,,0.64385,0.60655,,,0.60655,0.5579500000000001,,,0.5579500000000001,0.51475,,,0.51475,0.52885,,,0.52885
1,He,2.0,-2.92328980571954e-18,-2.92328980571954e-18,3.542684878614336e-19,3.542684878614336e-19,3.750742411193224e-19,4.537305680054162e-18,3.646778293667712e-19,4.5095744366178254e-18,2.86965,,,2.86965,2.80645,,,2.80645,0.29655,,,0.29655,0.28055,,,0.28055,0.26705,,,0.26705
2,Li,3.0,-4.513844237312258e-19,-4.513844237312258e-19,-4.513844237312258e-19,-4.513844237312258e-19,-1.1229712427935229e-19,7.996526924557971e-19,-1.115066862778176e-19,8.068978028270209e-19,2.05995,,,2.05995,1.86435,,,1.86435,1.6923500000000002,,,1.6923500000000002,1.58265,,,1.58265,0.19145,,,0.19145
3,Be,4.0,-1.036406399403379e-18,-1.036406399403379e-18,-1.7625705223082877e-19,-1.7625705223082877e-19,2.438407882620403e-19,1.6003074467165114e-18,2.56540520522496e-19,1.5959441537450881e-18,1.1641500000000002,,1.7266500000000002,1.7266500000000002,1.1225500000000002,1.50395,,1.50395,1.08045,,,1.08045,1.04405,,,1.04405,1.0168500000000005,,,1.0168500000000005
4,B,5.0,-1.7471591853928127e-18,-4.720268673136129e-19,-4.720268673136129e-19,-4.720268673136129e-19,7.058834974269944e-20,1.1666376219981192e-18,8.629643714952959e-20,1.1422974566252931e-18,0.81525,,0.97445,0.97445,0.81035,0.91495,,0.91495,0.80115,0.86765,,0.86765,0.7876500000000001,0.82025,,0.82025,0.77135,0.77015,,0.77135
5,C,6.0,-2.535316328286336e-18,-8.02772198028461e-19,-8.02772198028461e-19,-8.02772198028461e-19,-1.235684568338847e-19,1.645675548947746e-18,-1.066440802336896e-19,1.622205430736621e-18,0.64825,,0.68045,0.68045,0.64535,0.66915,,0.66905,0.64025,0.65185,,0.65185,0.63315,0.62895,,0.62895,0.6244500000000001,0.60175,,0.60175
6,N,7.0,-1.1740493928963073e-18,-1.1740493928963073e-18,-1.1740493928963073e-18,-1.1740493928963073e-18,-3.608739379486354e-19,2.1671358234353152e-18,-3.4090313049072e-19,2.1447761639066112e-18,0.54405,,0.53805,0.53805,0.54055,0.53355,,0.53355,0.53535,0.52345,,0.52345,0.5285500000000001,0.5085500000000001,,0.5084500000000001,0.52085,0.49075,,0.49075
7,O,8.0,-1.5903044920398724e-18,-1.5903044920398724e-18,6.140822552202239e-19,-1.5903044920398724e-18,-6.4353702958528245e-19,2.7331919144771775e-18,-6.203355505712066e-19,2.7115076912757126e-18,0.46605,,0.44965,0.44965,0.46375,0.44555,,0.44555,0.46025,0.43745,,0.43745,0.45585,0.42625,,0.42625,0.45095,0.41395,,0.41405
8,F,9.0,-2.0544758873817025e-18,-2.0544758873817025e-18,4.02739137170496e-19,-2.0544758873817025e-18,-9.68113264457482e-19,3.3405361689749363e-18,-9.419084201319745e-19,3.3203428180628163e-18,0.40805,,0.38745,0.38745,0.40635,0.38215,,0.38225,0.40395,0.37505,,0.37505,0.40125,0.36735,,0.36735,0.39835,0.35995,,0.35995
9,Ne,10.0,-2.560388790225235e-18,-2.560388790225235e-18,5.892933785432066e-19,5.892933785432066e-19,3.5331269946475287e-19,3.990941186435284e-18,3.473727196855104e-19,3.97123508114592e-18,2.44475,,,2.44475,2.38475,,,2.38475,0.36025,0.32895,,0.32895,0.35815,0.32485,,0.32485,0.35585,0.32135,,0.32135
10,Na,11.0,-4.275360247306176e-19,-4.275360247306176e-19,-4.275360247306176e-19,-4.275360247306176e-19,-1.0893586459392885e-19,7.666838754036563e-19,-1.082847090933888e-19,7.651787257980097e-19,2.13665,,,2.13665,1.9583500000000005,,,1.9583500000000005,1.8069500000000005,,,1.8069500000000005,1.6939500000000005,,,1.6939500000000005,0.32095,0.28665,,0.28665
11,Mg,12.0,-8.692497103786945e-19,-8.692497103786945e-19,-6.655762118127361e-20,-6.655762118127361e-20,1.9951168185201472e-19,1.3321099276326405e-18,2.06857023511488e-19,1.3295278165319809e-18,1.44385,,2.33255,2.33255,1.39905,2.11375,,2.11375,1.3537500000000002,,,1.3537500000000002,1.30885,,,1.30885,1.2751500000000002,,,1.2751500000000002
12,Al,13.0,-1.3937943251455104e-18,-3.413533421211648e-19,-3.413533421211648e-19,-3.413533421211648e-19,9.774262549253892e-20,8.207637306426769e-19,1.0263703650506881e-19,8.109128574387455e-19,1.15555,,1.63075,1.63075,1.1317500000000005,1.5368500000000005,,1.5368500000000005,1.10725,1.44175,,1.44175,1.08235,1.35455,,1.35455,1.05815,1.2817500000000002,,1.05815
13,Si,14.0,-1.9533689295494973e-18,-6.144651754325952e-19,-6.144651754325952e-19,-6.144651754325952e-19,-1.056282356882429e-19,1.177818864433691e-18,-1.0001587555344e-19,1.1681197372227265e-18,0.97035,,1.28625,1.28595,0.95925,1.21575,,1.21565,0.94685,1.1582500000000002,,1.1582500000000002,0.93395,1.11295,,1.11295,0.92095,1.0779500000000002,,1.0779500000000002
14,P,15.0,-9.038407036217664e-19,-9.038407036217664e-19,-9.038407036217664e-19,-9.038407036217664e-19,-3.043571153524376e-19,1.5537778443331565e-18,-2.999418830033472e-19,1.5456117752026562e-18,0.8492500000000001,,1.0560500000000002,1.0559500000000002,0.84155,1.01445,,1.01445,0.83355,0.97935,,0.97935,0.82515,0.95025,,0.95025,0.8167500000000001,0.92625,,0.92625
15,S,16.0,-1.2158870309952577e-18,-1.2158870309952577e-18,8.946618337612033e-19,-1.2158870309952577e-18,-5.389369449211784e-19,1.9479423541304854e-18,-5.348610300281471e-19,1.9402471030251457e-18,0.75825,,0.90075,0.90075,0.75285,0.87485,,0.87495,0.7473500000000001,0.85235,,0.8522500000000001,0.7412500000000001,0.8331500000000001,,0.8330500000000001,0.7351500000000001,0.8168500000000001,,0.8169500000000001
16,Cl,17.0,-1.5547393754113537e-18,-1.5547393754113537e-18,9.482498351971009e-19,-1.5547393754113537e-18,-7.9742034332015875e-19,2.3680957588782993e-18,-7.949888240046143e-19,2.3612830972051773e-18,0.6869500000000001,,0.79015,0.79015,0.68305,0.7726500000000001,,0.7726500000000001,0.67865,0.7573500000000001,,0.7573500000000001,0.67415,0.74395,,0.74395,0.66935,0.7323500000000001,,0.73245
17,Ar,18.0,-1.9141684741683847e-18,-1.9141684741683847e-18,8.335403978543041e-19,8.335403978543041e-19,3.8353643353220967e-19,2.8231076867179997e-18,3.836876549725632e-19,2.8145116262269447e-18,2.49425,,,2.49425,2.46055,,,2.46055,0.62225,0.6828500000000001,,0.6828500000000001,0.61995,0.67725,,0.67725,0.61765,0.67255,,0.6726500000000001
18,K,19.0,-3.558818797185792e-19,-3.558818797185792e-19,-3.558818797185792e-19,-3.558818797185792e-19,-8.168027470925992e-20,6.394926818971639e-19,-8.207790610696321e-20,6.378393301534464e-19,2.60625,,,2.60625,2.39885,,,2.39885,2.24365,,,2.24365,2.14395,,,2.14395,0.5699500000000001,0.6113500000000001,,0.6113500000000001
19,Ca,20.0,-6.877775732471615e-19,-6.877775732471615e-19,-8.606091718627201e-20,-8.606091718627201e-20,2.4345336830545955e-19,1.0496852857005165e-18,2.671613493417792e-19,1.049271877668403e-18,2.00885,,,2.02855,1.90085,,0.70525,2.02275,1.81275,,,1.81275,1.7425500000000005,,,1.7425500000000005,1.68335,,,1.68335
20,Sc,21.0,-7.581980422611842e-19,-3.093354445310976e-19,-3.093354445310976e-19,-3.093354445310976e-19,2.9826967203812004e-19,1.0652825760401732e-18,3.154717809887616e-19,1.0756725440259457e-18,1.85635,0.64845,,0.64845,1.7634500000000002,,0.61495,0.61495,1.6545500000000002,,0.59045,0.59045,1.5459500000000002,,0.5729500000000001,0.5729500000000001,1.4124500000000002,,1.3640500000000002,1.4124500000000002
21,Ti,22.0,-8.168168782863937e-19,-5.28471549664397e-19,-5.28471549664397e-19,-5.28471549664397e-19,1.5942812866622223e-19,1.233563219201304e-18,1.746548756100288e-19,1.3538648794019328e-18,1.7576500000000002,0.55935,,0.55935,1.6548500000000002,,0.54025,0.54035,1.5468500000000005,,0.5245500000000001,0.5245500000000001,1.4505500000000002,,0.51215,0.51215,1.4648500000000002,,0.51885,0.51885
22,V,23.0,-8.617499216167296e-19,-7.300654229765568e-19,-7.300654229765568e-19,-7.300654229765568e-19,2.3778984699390302e-20,4.441572693553178e-19,3.8718200218252796e-20,1.2605493064766784e-18,1.6803500000000002,0.49745,,0.49735,1.57055,,0.48555,0.48545,1.4633500000000002,,0.47525,0.47525,1.42915,,0.47485,0.47495,1.4687500000000002,,0.48055,0.48255
23,Cr,24.0,-8.572189661331071e-19,-8.572189661331071e-19,-8.477132522419007e-19,-8.572189661331071e-19,-1.1689118212883108e-19,1.1149793615050781e-18,-5.48152687274304e-20,1.065529163839661e-18,1.61065,0.45035,,0.45035,1.4793500000000002,,0.44015,0.44515,1.4085500000000002,,0.43745,0.43755,1.43365,,0.44465,0.44465,1.3886500000000002,,0.44335,0.44325
