,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
0,H,1.0,-1.462820900499437e-18,-1.462820900499437e-18,2.7261035202912e-19,2.7261035202912e-19,-8.042828533218944e-20,2.1856374339600066e-18,-9.294707230247044e-20,2.22518299979808e-18,0.64385,,,0.64385,0.57685,,,0.57685,0.5236500000000001,,,0.5236500000000001,0.49415,,,0.49415,0.52885,,,0.52885,0.64385,,,0.64385,0.65525,,,0.57685,,,,2.64325,,,,2.18845,0.52885,,,0.52885
1,He,2.0,-2.92328980571954e-18,-2.92328980571954e-18,3.542684878614336e-19,3.542684878614336e-19,3.1247121572445233e-19,3.922135436737944e-18,2.984518587460032e-19,3.977933781597485e-18,2.84995,,,2.84995,2.79885,,,2.79885,0.29655,,,0.29655,0.27495,,,0.27495,0.25945,,,0.25945,2.59215,,,2.84995,2.60555,,,2.79885,0.29655,,,0.29655,0.28805,,,0.27495,,,,1.1563500000000002
2,Li,3.0,-6.063533552014847e-19,-6.063533552014847e-19,-8.7022223158752e-20,-8.7022223158752e-20,-2.1523777133149518e-20,8.904260662141547e-19,-2.8731833340806404e-20,9.039768886345345e-19,2.05985,,,2.05985,1.8208500000000003,,,1.8208500000000003,1.6163500000000002,,,1.6163500000000002,1.5559500000000002,,,1.5559500000000002,0.19145,,,0.19145,2.05985,,,2.05985,1.8998500000000005,,,1.8208500000000003,1.48585,,,1.6163500000000002,1.51445,,,1.5559500000000002,0.19145,,,0.19145
3,Be,4.0,-1.036406399403379e-18,-1.036406399403379e-18,-1.7625705223082877e-19,-1.7625705223082877e-19,2.0460181528925005e-19,1.4371663343247413e-18,2.1381367439900162e-19,1.4429090494561342e-18,1.17185,1.7001500000000005,,1.7001500000000005,1.1242500000000002,1.4895500000000002,,1.4895500000000002,1.08045,,,1.08045,1.0353500000000002,,,1.0353500000000002,1.0036500000000002,,,1.0036500000000002,1.1579500000000005,1.7001500000000005,,1.7001500000000005,1.12105,1.4895500000000002,,1.4895500000000002,1.08045,,,1.08045,1.0530500000000005,,,1.0353500000000002,1.00435,,,1.0036500000000002
4,B,5.0,-1.6079893175802625e-18,-5.909035660471103e-19,-3.0914478551322235e-19,-5.909035660471103e-19,-6.568558099190975e-20,1.2357654273410464e-18,-5.319386598718081e-20,1.2180483672567169e-18,0.81805,0.95175,,0.95175,0.81145,0.90355,,0.90355,0.80095,0.8603500000000001,,0.8603500000000001,0.78715,0.81645,,0.81645,0.77135,0.77025,,0.77135,0.81845,,,0.95175,0.8127500000000001,0.90355,,0.90355,0.8026500000000001,0.8603500000000001,,0.8603500000000001,0.78845,0.81645,,0.81645,0.77135,0.77025,,0.77135
5,C,6.0,-2.15476733731392e-18,-1.0746359357522878e-18,-3.685454837293824e-19,-1.0746359357522878e-18,-3.910961384125605e-19,1.889085819662506e-18,-3.787577575103616e-19,1.8726384539806278e-18,0.64935,0.67445,,0.67435,0.64515,0.66115,,0.66115,0.63905,0.64295,,0.64295,0.6315500000000001,0.62065,,0.62065,0.62305,0.59555,,0.59555,0.65685,,,0.67435,0.65225,0.66115,,0.66115,0.64535,0.64295,,0.64295,0.6365500000000001,0.62065,,0.62065,0.62655,0.59555,,0.59555
6,N,7.0,-1.6367628075132096e-18,-1.6367628075132096e-18,-3.7584980694360963e-19,-3.7584980694360963e-19,2.2635182381473243e-19,2.6189051914086e-18,2.42561529506016e-19,2.6056855276484932e-18,0.54145,0.52875,,0.52875,0.53835,0.5235500000000001,,0.52345,0.53355,0.51325,,0.51325,0.52615,0.49825,,0.49825,0.51865,0.48185,,0.48185,0.55135,,,0.52875,0.54935,0.5235500000000001,,0.52345,0.54535,0.51325,,0.51325,0.5357500000000001,0.49825,,0.49825,0.52585,0.48185,,0.48185
7,O,8.0,-2.0376770655126144e-18,-1.026658756842432e-18,5.929944065372543e-19,-1.026658756842432e-18,-2.5493056421274904e-19,1.952397143739691e-18,-2.352027322866816e-19,1.933780718183597e-18,0.46435,0.44365,,0.44365,0.46175,0.43765,,0.43765,0.45815,0.42845,,0.42855,0.45375,0.41725,,0.41715,0.44885,0.40525,,0.40525,0.46835,0.44365,,0.44365,0.46715,0.43765,,0.43765,0.46455,0.42845,,0.42855,0.46105,0.41725,,0.41715,0.45695,0.40525,,0.40525
8,F,9.0,-2.332564081277337e-18,-1.7507032000780225e-18,3.9591546694250883e-19,-1.7507032000780225e-18,-8.23668610157209e-19,2.8441459727079037e-18,-7.996607710308671e-19,2.827253736892166e-18,0.40805,0.38745,,0.38745,0.40585,0.37975,,0.37975,0.40315,0.37125,,0.37125,0.40015,0.36315,,0.36315,0.39715,0.35575,,0.35575,0.40805,0.38745,,0.38745,0.40695,0.37975,,0.37975,0.40515,0.37125,,0.37125,0.40295,0.36315,,0.36315,0.40045,0.35575,,0.35575
9,Ne,10.0,-2.560388790225235e-18,-2.560388790225235e-18,5.892933785432066e-19,5.892933785432066e-19,2.862268635627393e-19,3.815635748450448e-18,2.7795040670624643e-19,3.798568506722304e-18,2.43655,,,2.43655,2.37625,,,2.37625,0.36025,0.32895,,0.32895,0.35775,0.32415,,0.32415,0.35525,0.32025,,0.32025,2.36725,,,2.43655,2.32075,,,2.37625,0.36025,0.32895,,0.32895,0.35855,0.32415,,0.32415,0.35655,0.32025,,0.32025
