,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
0,H,1.0,-1.2166897214822785e-18,-1.2166897214822785e-18,2.0013429041061122e-19,2.0013429041061122e-19,-8.966123864327533e-20,2.179810540510604e-18,-1.0721125075745278e-19,2.2265768934581762e-18,0.62725,,,0.62725,0.5759500000000001,,,0.5759500000000001,0.5206500000000001,,,0.5206500000000001,0.48305,,,0.48305,0.52885,,,0.52885,0.62725,,,0.62725,0.61915,,,0.5759500000000001,,,,2.64785,,,,2.16395,0.52885,,,0.52885
1,He,2.0,-2.5256744293823613e-18,-2.5256744293823613e-18,2.8070935484726404e-19,2.8070935484726404e-19,3.0944770433812258e-19,3.924371335830383e-18,2.9296440381976323e-19,3.99845125540345e-18,2.86545,,,2.86545,2.78505,,,2.78505,0.29645,,,0.29645,0.27575,,,0.27575,0.25985,,,0.25985,2.52555,,,2.86545,2.53305,,,2.78505,0.29645,,,0.29645,0.28385,,,0.27575,,,,1.1618500000000005
2,Li,3.0,-5.079332475623615e-19,-5.079332475623615e-19,-1.855432679249856e-19,-1.855432679249856e-19,-2.2138504168319206e-20,8.931517972283852e-19,-2.99382723362688e-20,9.088891621539072e-19,2.05485,,,2.05485,1.8209500000000003,,,1.8209500000000003,1.6159500000000002,,,1.6159500000000002,1.5395500000000002,,,1.5395500000000002,0.19085,,,0.19085,2.05485,,,2.05485,1.83655,,,1.8209500000000003,1.47565,,,1.6159500000000002,1.4988500000000002,,,1.5395500000000002,0.19085,,,0.19085
3,Be,4.0,-8.933784902879425e-19,-8.933784902879425e-19,-3.100564240104576e-19,-3.100564240104576e-19,1.311116713114044e-19,1.4414208693841737e-18,1.4278758262231682e-19,1.4490293641475905e-18,1.1727500000000002,1.6057500000000002,,1.6057500000000002,1.12515,1.37745,,1.37745,1.08115,,,1.08115,1.03685,,,1.03685,1.00455,,,1.00455,1.16565,1.6057500000000002,,1.6057500000000002,1.1256500000000005,1.37745,,1.37745,1.08115,,,1.08115,1.0450500000000005,,,1.03685,0.99385,,,1.00455
4,B,5.0,-1.3903015801121669e-18,-6.390457691489088e-19,-4.659818549233343e-19,-6.390457691489088e-19,-5.2385559999289006e-20,1.3688965580725549e-18,-3.67266946785984e-20,1.349040725596704e-18,0.8179500000000001,0.91675,,0.91675,0.81205,0.87415,,0.87415,0.80155,0.8319500000000001,,0.8319500000000001,0.78735,0.7867500000000001,,0.7867500000000001,0.77125,0.73955,,0.77125,0.8199500000000001,0.91675,,0.91675,0.8147500000000001,0.87415,,0.87415,0.80445,0.8319500000000001,,0.8319500000000001,0.78935,0.7867500000000001,,0.7867500000000001,0.77125,0.73955,,0.77125
5,C,6.0,-1.9036485824762118e-18,-9.75943458087629e-19,-5.772674408274818e-19,-9.75943458087629e-19,-2.37166852622454e-19,1.874263785898832e-18,-2.2153776788787843e-19,1.854702086710772e-18,0.6486500000000001,0.66205,,0.66205,0.64535,0.65035,,0.65035,0.63975,0.63215,,0.63215,0.63225,0.60875,,0.60875,0.62355,0.58235,,0.58235,0.65625,0.66205,,0.66205,0.6526500000000001,0.65035,,0.65035,0.64635,0.63215,,0.63215,0.63765,0.60875,,0.60875,0.62755,0.58235,,0.58235
6,N,7.0,-1.3298258213834494e-18,-1.3298258213834494e-18,-6.621283277247743e-19,-6.621283277247743e-19,3.87202553301954e-20,2.3894214820826624e-18,5.80196219690304e-20,2.3720977893955782e-18,0.54205,0.52505,,0.52505,0.5387500000000001,0.52035,,0.52035,0.53345,0.50985,,0.50985,0.5265500000000001,0.49435,,0.49435,0.51895,0.47715,,0.47715,0.54955,0.52505,,0.52505,0.5478500000000001,0.52035,,0.52035,0.54405,0.50985,,0.50985,0.53535,0.49435,,0.49435,0.52585,0.47715,,0.47715
7,O,8.0,-1.6378122331998337e-18,-1.1521043797212096e-18,4.680230279382338e-19,-1.1521043797212096e-18,-2.8419973106238803e-19,2.200411446976341e-18,-2.60898440931072e-19,2.179685990297223e-18,0.46485,0.44185,,0.44185,0.46255,0.43715,,0.43715,0.45895,0.42855,,0.42855,0.45445,0.41715,,0.41715,0.44935,0.40495,,0.40485,0.46765,0.44185,,0.44185,0.46655,0.43715,,0.43715,0.46415,0.42855,,0.42855,0.46065,0.41715,,0.41715,0.45655,0.40495,,0.40485
8,F,9.0,-1.898912548385126e-18,-1.6384306733754625e-18,2.746499228673984e-19,-1.6384306733754625e-18,-6.201072093204139e-19,2.860121562903837e-18,-5.91195162192096e-19,2.8400551280923588e-18,0.40785,0.38565,,0.38565,0.40615,0.37975,,0.37975,0.40365,0.37205,,0.37205,0.40085,0.36395,,0.36395,0.39775,0.35635,,0.35645,0.40785,0.38565,,0.38565,0.40695,0.37975,,0.37975,0.40525,0.37205,,0.37205,0.40295,0.36395,,0.36395,0.40045,0.35635,,0.35645
9,Ne,10.0,-2.1362974452293373e-18,-2.1362974452293373e-18,4.407684014418047e-19,4.407684014418047e-19,2.7923219430586477e-19,3.523005072573485e-18,2.7185572684072324e-19,3.50257759126585e-18,2.43305,,,2.43305,2.34295,,,2.34295,0.36035,0.32915,,0.32915,0.35815,0.32455,,0.32455,0.35565,0.32065,,0.32075,2.31265,,,2.43305,2.24725,,,2.34295,0.36035,0.32915,,0.32915,0.35865,0.32455,,0.32455,0.35665,0.32065,,0.32075
