,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,atomic_radius_neg_charged_s,atomic_radius_neg_charged_p,atomic_radius_neg_charged_d,atomic_radius_neg_charged,atomic_radius_neg_half_charged_s,atomic_radius_neg_half_charged_p,atomic_radius_neg_half_charged_d,atomic_radius_neg_half_charged,atomic_radius_s,atomic_radius_p,atomic_radius_d,atomic_radius,atomic_radius_half_charged_s,atomic_radius_half_charged_p,atomic_radius_half_charged_d,atomic_radius_half_charged,atomic_radius_charged_s,atomic_radius_charged_p,atomic_radius_charged_d,atomic_radius_charged
0,H,1.0,-1.0137420089255422e-18,-1.0137420089255422e-18,-1.0137420089255422e-18,-1.0137420089255422e-18,-2.536010625292494e-19,1.9635973954390537e-18,-2.194132816886976e-19,1.990553846741645e-18,0.63895,,,0.63895,0.60385,,,0.60385,0.55205,,,0.55205,0.5065500000000001,,,0.5065500000000001,0.52885,,,0.52885
1,He,2.0,-2.485850727295757e-18,-2.485850727295757e-18,2.977933641548545e-19,2.977933641548545e-19,3.4890372100542732e-19,4.2629786177561154e-18,3.359540069090688e-19,4.228120069641888e-18,0.30005,,,0.30005,0.29915,,,0.29915,0.29835,,,0.29835,0.28045,,,0.28045,0.26575,,,0.26575
2,Li,3.0,-4.402765332192193e-19,-4.402765332192193e-19,-4.402765332192193e-19,-4.402765332192193e-19,-6.149505699002057e-20,8.295994643710974e-19,-6.00063209788224e-20,8.397760692624576e-19,2.07505,,,2.07505,1.85785,,,1.85785,1.6729500000000002,,,1.6729500000000002,1.5641500000000002,,,1.5641500000000002,1.49435,,,1.49435
3,Be,4.0,-8.82983568372192e-19,-8.82983568372192e-19,-3.0260309837049604e-19,-3.0260309837049604e-19,1.560108797184926e-19,1.5113352579878061e-18,1.7065584276451202e-19,1.505219300415667e-18,1.17535,,1.6304500000000002,1.6304500000000002,1.1304500000000002,1.3961500000000002,,1.3961500000000002,1.0842500000000002,,,1.0842500000000002,1.0431500000000002,,,1.0431500000000002,1.01395,,,1.01395
4,B,5.0,-1.4923041546753985e-18,-5.619137822703552e-19,-5.619137822703552e-19,-5.619137822703552e-19,1.83221778889794e-20,1.3117020495009797e-18,3.64783573023744e-20,1.2864949546739136e-18,0.8189500000000001,,0.92705,0.92705,0.81445,0.88295,,0.88295,0.8047500000000001,0.84035,,0.84035,0.79045,0.7937500000000001,,0.7937500000000001,0.77315,0.7444500000000001,,0.7444500000000001
5,C,6.0,-2.1838051863893e-18,-8.360125563801985e-19,-8.360125563801985e-19,-8.360125563801985e-19,-1.2166817714817811e-19,1.732608645424338e-18,-1.0246880795988481e-19,1.7076527142771262e-18,0.6505500000000001,,0.6656500000000001,0.6656500000000001,0.64785,0.65615,,0.65615,0.64285,0.63935,,0.63935,0.63535,0.61595,,0.61595,0.62625,0.58825,,0.58825
6,N,7.0,-1.126136301051283e-18,-1.126136301051283e-18,-1.126136301051283e-18,-1.126136301051283e-18,-2.8258609743686907e-19,2.1701186698310466e-18,-2.599723828442496e-19,2.146011442081248e-18,0.5458500000000001,,0.53035,0.53035,0.5427500000000001,0.5266500000000001,,0.5266500000000001,0.53755,0.51665,,0.51665,0.53055,0.5014500000000001,,0.5014500000000001,0.52245,0.48355,,0.48345
7,O,8.0,-1.437017846021453e-18,-1.437017846021453e-18,5.308171362372479e-19,-1.437017846021453e-18,-4.686775012263604e-19,2.624918456348632e-18,-4.424058259482625e-19,2.60109368945328e-18,0.46695,,0.44535,0.44535,0.46505,0.44195,,0.44195,0.46175,0.43415,,0.43415,0.45725,0.42305,,0.42305,0.45215,0.41055,,0.41055
8,F,9.0,-1.7706262663576706e-18,-1.7706262663576706e-18,3.2037604362503035e-19,-1.7706262663576706e-18,-6.750832837088458e-19,3.095479125854175e-18,-6.440125166733889e-19,3.072861004154324e-18,0.40845,,0.38615,0.38615,0.40705,0.38145,,0.38145,0.40485,0.37435,,0.37435,0.40215,0.36655,,0.36655,0.39915,0.35895,,0.35905
9,Ne,10.0,-2.12692951852752e-18,-2.12692951852752e-18,4.794080950056384e-19,4.794080950056384e-19,3.207317619225476e-19,3.589857723364142e-18,3.1235234310806403e-19,3.5675378423561864e-18,2.43105,,,2.43105,2.36145,,,2.36145,0.36075,0.32925,,0.32925,0.35875,0.32505,,0.32505,0.35645,0.32135,,0.32135
