,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
0,H,1.0,-1.1839780814154049e-18,-1.1839780814154049e-18,2.218437836224512e-19,2.218437836224512e-19,-8.653621139800363e-20,2.130662246573504e-18,-9.92692612481472e-20,2.176412743460928e-18,0.63895,,,0.63895,0.58625,,,0.58625,0.52915,,,0.52915,0.49045,,,0.49045,0.52885,,,0.52885,0.63895,,,0.63895,0.63225,,,0.58625,,,,2.70635,,,,2.32125,0.52885,,,0.52885
1,He,2.0,-2.485850727295757e-18,-2.485850727295757e-18,2.977933641548545e-19,2.977933641548545e-19,3.1846726708562065e-19,3.8772495742470585e-18,3.004385577557952e-19,3.9441743180206086e-18,2.86195,,,2.86195,2.79235,,,2.79235,0.29835,,,0.29835,0.27715,,,0.27715,0.26075,,,0.26075,2.55295,,,2.86195,2.54305,,,2.79235,0.29835,,,0.29835,0.28535,,,0.27715,,,,1.5397500000000002
2,Li,3.0,-4.966667415648962e-19,-4.966667415648962e-19,-1.7747791081587845e-19,-1.7747791081587845e-19,-1.7208648202500047e-20,8.738858731746415e-19,-2.4769650557568e-20,8.917971419632129e-19,2.07515,,,2.07515,1.83825,,,1.83825,1.62495,,,1.62495,1.54445,,,1.54445,0.19185,,,0.19185,2.07515,,,2.07515,1.87105,,,1.83825,1.47555,,,1.62495,1.49775,,,1.54445,0.19185,,,0.19185
3,Be,4.0,-8.82983568372192e-19,-8.82983568372192e-19,-3.0260309837049604e-19,-3.0260309837049604e-19,1.3276250113352878e-19,1.4237261543925861e-18,1.4411098051109758e-19,1.4323587164081661e-18,1.1767500000000002,1.62675,,1.62675,1.1300500000000002,1.39105,,1.39105,1.0842500000000002,,,1.0842500000000002,1.03845,,,1.03845,1.0052500000000002,,,1.0052500000000002,1.17135,1.62675,,1.62675,1.1304500000000002,1.39105,,1.39105,1.0842500000000002,,,1.0842500000000002,1.04815,,,1.03845,0.99765,,,1.0052500000000002
4,B,5.0,-1.3739145176346241e-18,-6.30688815894816e-19,-4.534576402785407e-19,-6.30688815894816e-19,-5.028894697893101e-20,1.3545752521035785e-18,-3.4701543429907204e-20,1.3353309002525185e-18,0.8179500000000001,0.91845,,0.91845,0.8129500000000001,0.87695,,0.87695,0.80305,0.83555,,0.83555,0.78915,0.7907500000000001,,0.7907500000000001,0.77315,0.7444500000000001,,0.77315,0.82355,0.91845,,0.91845,0.81815,0.87695,,0.87695,0.80735,0.83555,,0.83555,0.79185,0.7907500000000001,,0.7907500000000001,0.77315,0.7444500000000001,,0.77315
5,C,6.0,-1.882964482301684e-18,-9.685478108060161e-19,-5.605214907868799e-19,-9.685478108060161e-19,-2.3514074359260763e-19,1.8630531005358576e-18,-2.1942289474842235e-19,1.8435749700793157e-18,0.64885,0.6617500000000001,,0.6617500000000001,0.64585,0.65095,,0.65095,0.6405500000000001,0.63325,,0.63325,0.63305,0.60995,,0.60995,0.6244500000000001,0.58355,,0.58355,0.6586500000000001,0.6617500000000001,,0.6617500000000001,0.65485,0.65095,,0.65095,0.64825,0.63325,,0.63325,0.63925,0.60995,,0.60995,0.62875,0.58355,,0.58355
6,N,7.0,-1.321923886289664e-18,-1.321923886289664e-18,-6.400711621862207e-19,-6.400711621862207e-19,5.086608440312012e-20,2.379925902599428e-18,7.032914494663679e-20,2.3627010235145862e-18,0.54325,0.52505,,0.52515,0.54005,0.5206500000000001,,0.52075,0.53485,0.51035,,0.51035,0.52775,0.49485,,0.49485,0.52005,0.47745,,0.47745,0.55155,0.52505,,0.52515,0.55015,0.5206500000000001,,0.52075,0.54645,0.51035,,0.51035,0.53725,0.49485,,0.49485,0.52745,0.47745,,0.47745
7,O,8.0,-1.6301394093628226e-18,-1.1375213681186878e-18,4.992895046931456e-19,-1.1375213681186878e-18,-2.750908881763466e-19,2.1784983345796765e-18,-2.5134145738799997e-19,2.158862500756685e-18,0.46575,0.44235,,0.44235,0.46345,0.43755,,0.43765,0.45985,0.42895,,0.42895,0.45525,0.41755,,0.41755,0.45005,0.40515,,0.40525,0.46855,0.44235,,0.44235,0.46765,0.43755,,0.43765,0.46525,0.42895,,0.42895,0.46165,0.41755,,0.41755,0.45745,0.40515,,0.40525
8,F,9.0,-1.8902031162744573e-18,-1.627577528946163e-18,3.076916113181568e-19,-1.627577528946163e-18,-6.106205912917869e-19,2.8452536439233078e-18,-5.813930456260415e-19,2.825725260395924e-18,0.40845,0.38615,,0.38615,0.40665,0.38015,,0.38005,0.40415,0.37225,,0.37225,0.40125,0.36415,,0.36415,0.39815,0.35655,,0.35655,0.40845,0.38615,,0.38615,0.40755,0.38015,,0.38005,0.40575,0.37225,,0.37225,0.40345,0.36415,,0.36415,0.40085,0.35655,,0.35655
9,Ne,10.0,-2.12692951852752e-18,-2.12692951852752e-18,4.794080950056384e-19,4.794080950056384e-19,2.88620431640334e-19,3.509795604584545e-18,2.749799712512832e-19,3.489648025935994e-18,2.43305,,,2.43305,2.36435,,,2.36435,0.36075,0.32925,,0.32925,0.35845,0.32465,,0.32465,0.35595,0.32075,,0.32065,2.32925,,,2.43305,2.27445,,,2.36435,0.36075,0.32925,,0.32925,0.35905,0.32465,,0.32465,0.35705,0.32075,,0.32065
