,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,atomic_radius_neg_charged_s,atomic_radius_neg_charged_p,atomic_radius_neg_charged_d,atomic_radius_neg_charged,atomic_radius_neg_half_charged_s,atomic_radius_neg_half_charged_p,atomic_radius_neg_half_charged_d,atomic_radius_neg_half_charged,atomic_radius_s,atomic_radius_p,atomic_radius_d,atomic_radius,atomic_radius_half_charged_s,atomic_radius_half_charged_p,atomic_radius_half_charged_d,atomic_radius_half_charged,atomic_radius_charged_s,atomic_radius_charged_p,atomic_radius_charged_d,atomic_radius_charged
0,H,1.0,-1.0171995060732291e-18,-1.0171995060732291e-18,-1.0171995060732291e-18,-1.0171995060732291e-18,-2.662162619741204e-19,1.945184277585527e-18,-2.341196608910208e-19,1.975416482028326e-18,0.6446500000000001,,,0.6446500000000001,0.60995,,,0.60995,0.55905,,,0.55905,0.5144500000000001,,,0.5144500000000001,0.52885,,,0.52885
1,He,2.0,-2.4862785084535106e-18,-2.4862785084535106e-18,3.1147755467310724e-19,3.1147755467310724e-19,3.431914470135243e-19,4.246201310214298e-18,3.3008363177045763e-19,4.212635032601856e-18,2.84535,,,2.84535,2.75635,,,2.75635,0.30135,,,0.30135,0.28335,,,0.28335,0.26835,,,0.26835
2,Li,3.0,-4.495130814381312e-19,-4.495130814381312e-19,-4.495130814381312e-19,-4.495130814381312e-19,-6.757220329150998e-20,8.382654787610545e-19,-6.591194400309119e-20,8.515040021267137e-19,2.07895,,,2.07895,1.83465,,,1.83465,1.6516500000000005,,,1.6516500000000005,1.55075,,,1.55075,0.19335,,,0.19335
3,Be,4.0,-8.917602919009345e-19,-8.917602919009345e-19,-3.239825431984512e-19,-3.239825431984512e-19,1.4200216090759526e-19,1.5207023038289122e-18,1.558773656142528e-19,1.5143853528632642e-18,1.17185,,1.78025,1.78025,1.12675,1.3820500000000002,,1.3820500000000002,1.08075,,,1.08075,1.03845,,,1.03845,1.00795,,,1.00795
4,B,5.0,-1.4983651888318851e-18,-5.893798960807296e-19,-5.893798960807296e-19,-5.893798960807296e-19,-5.193916670841887e-21,1.3428110178904604e-18,1.24841602292736e-20,1.3175130940526018e-18,0.8177500000000001,,0.90385,0.90385,0.8129500000000001,0.8661500000000001,,0.8661500000000001,0.80355,0.82555,,0.82555,0.78925,0.77835,,0.77835,0.77185,0.72695,,0.77185
5,C,6.0,-2.1833838139380293e-18,-8.657473522856257e-19,-8.657473522856257e-19,-8.657473522856257e-19,-1.4823913341140591e-19,1.7653948890831176e-18,-1.2939659042567042e-19,1.7403515369310342e-18,0.65105,,0.6546500000000001,0.6545500000000001,0.64825,0.64615,,0.64615,0.64335,0.63005,,0.63005,0.63585,0.60655,,0.60655,0.62665,0.57845,,0.57845
6,N,7.0,-1.15929494839536e-18,-1.15929494839536e-18,-1.15929494839536e-18,-1.15929494839536e-18,-3.1420296429072384e-19,2.2050434791365178e-18,-2.921200567406016e-19,2.1808219335213696e-18,0.54595,,0.52415,0.52415,0.54285,0.5205500000000001,,0.5205500000000001,0.5376500000000001,0.51085,,0.51085,0.5306500000000001,0.49565,,0.49565,0.5226500000000001,0.47745,,0.47745
7,O,8.0,-1.4734529445550657e-18,-1.4734529445550657e-18,5.072395050855552e-19,-1.4734529445550657e-18,-5.049288735204404e-19,2.6623039378554974e-18,-4.791181010372735e-19,2.6384003720686084e-18,0.46755,,0.44135,0.44145,0.46565,0.43795,,0.43795,0.46235,0.43025,,0.43015,0.45785,0.41915,,0.41915,0.45275,0.40675,,0.40665
8,F,9.0,-1.809616836601459e-18,-1.809616836601459e-18,3.119181532438272e-19,-1.809616836601459e-18,-7.181050822168938e-19,3.131088678050329e-18,-6.834452876645184e-19,3.111845165691629e-18,0.40935,,0.38405,0.38405,0.40795,0.37905,,0.37905,0.40575,0.37185,,0.37185,0.40305,0.36415,,0.36415,0.39995,0.35685,,0.35675
9,Ne,10.0,-2.168334568938854e-18,-2.168334568938854e-18,4.388730264993984e-19,4.388730264993984e-19,2.9955327618559336e-19,3.6319049293695104e-18,2.8927298888544e-19,3.609727959311712e-18,2.43895,,,2.43895,2.35885,,,2.35885,0.36165,0.32765,,0.32765,0.35955,0.32345,,0.32345,0.35725,0.31975,,0.31975
