,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
0,H,1.0,-1.1726170469973121e-18,-1.1726170469973121e-18,-4.146096637540033e-19,-4.146096637540033e-19,-1.243614814213953e-19,2.0870390581238327e-18,-1.2228613058256e-19,2.1383610487169282e-18,0.6446500000000001,,,0.6446500000000001,0.58995,,,0.58995,0.53785,,,0.53785,0.5003500000000001,,,0.5003500000000001,0.52885,,,0.52885,0.6446500000000001,,,0.6446500000000001,0.6465500000000001,,,0.58995,0.73045,,,0.53785,0.57985,,,0.5003500000000001,0.52885,,,0.52885
1,He,2.0,-2.4862785084535106e-18,-2.4862785084535106e-18,3.1147755467310724e-19,3.1147755467310724e-19,3.200358793559095e-19,3.8972780708267724e-18,3.028402205103744e-19,3.941985744756596e-18,2.83715,,,2.83715,2.74815,,,2.74815,0.30135,,,0.30135,0.27965,,,0.27965,0.26325,,,0.26325,2.84395,,,2.83715,2.75565,,,2.74815,0.30135,,,0.30135,0.28885,,,0.27965,0.29705,,,0.26325
2,Li,3.0,-4.9945773323832965e-19,-4.9945773323832965e-19,-3.087746827138176e-19,-3.087746827138176e-19,-3.1171673432827543e-20,8.746660086517781e-19,-3.46598868377664e-20,8.945817249301633e-19,2.07895,,,2.07895,1.8030500000000005,,,1.8030500000000005,1.61725,,,1.61725,1.5353500000000002,,,1.5353500000000002,0.19335,,,0.19335,2.07895,,,2.07895,1.8795500000000005,,,1.8030500000000005,1.7426500000000005,,,1.61725,1.5790500000000005,,,1.5353500000000002,0.19335,,,0.19335
3,Be,4.0,-8.917602919009345e-19,-8.917602919009345e-19,-3.239825431984512e-19,-3.239825431984512e-19,1.2268262456341745e-19,1.4456914088422493e-18,1.335398191670592e-19,1.4512067221752573e-18,1.1666500000000002,1.7244500000000005,,1.7244500000000005,1.12335,1.36275,,1.36275,1.08075,,,1.08075,1.0330500000000002,,,1.0330500000000002,1.0007500000000005,,,1.0007500000000005,1.1803500000000002,1.7244500000000005,,1.7244500000000005,1.13155,1.36275,,1.36275,1.08075,,,1.08075,1.0457500000000002,,,1.0330500000000002,1.0248500000000005,,,1.0007500000000005
4,B,5.0,-1.3873904251921729e-18,-6.518920212944833e-19,-4.89362418350669e-19,-6.518920212944833e-19,-6.597977215032496e-20,1.3822114978129065e-18,-5.0756955346944004e-20,1.3626528181670208e-18,0.8158500000000001,0.8914500000000001,,0.8914500000000001,0.81065,0.85645,,0.85645,0.80095,0.8178500000000001,,0.8178500000000001,0.78735,0.7734500000000001,,0.7734500000000001,0.77185,0.72705,,0.77185,0.82625,0.8914500000000001,,0.8914500000000001,0.82015,0.85645,,0.85645,0.80855,0.8178500000000001,,0.8178500000000001,0.7916500000000001,0.7734500000000001,,0.7734500000000001,0.77185,0.72705,,0.77185
5,C,6.0,-1.899771315053876e-18,-9.892014696247486e-19,-6.07417200477696e-19,-9.892014696247486e-19,-2.5216219639463783e-19,1.8877098705407623e-18,-2.3672960660630403e-19,1.8680209809594813e-18,0.64905,0.64995,,0.64995,0.64595,0.63995,,0.64005,0.64065,0.62285,,0.62285,0.63325,0.59965,,0.59965,0.62455,0.5729500000000001,,0.5729500000000001,0.66145,,,0.64995,0.6575500000000001,0.63995,,0.64005,0.6506500000000001,0.62285,,0.62285,0.64105,0.59965,,0.59965,0.62995,0.5729500000000001,,0.5729500000000001
6,N,7.0,-1.3440130953606337e-18,-1.3440130953606337e-18,-7.007151494601218e-19,-7.007151494601218e-19,9.329738822350322e-22,2.403882523664043e-18,2.0189027598700802e-20,2.38658146604761e-18,0.54315,0.51865,,0.5185500000000001,0.53985,0.51405,,0.51415,0.5347500000000001,0.50415,,0.50415,0.52775,0.48865,,0.48865,0.51995,0.47135,,0.47135,0.55225,0.51865,,0.5185500000000001,0.55135,0.51405,,0.51415,0.54845,0.50415,,0.50415,0.53885,0.48865,,0.48865,0.52845,0.47135,,0.47135
7,O,8.0,-1.6591099670201282e-18,-1.1875429243966848e-18,4.826717287822079e-19,-1.1875429243966848e-18,-3.1982770284227445e-19,2.237012234444825e-18,-2.963241681935808e-19,2.2170215120917244e-18,0.46625,0.43825,,0.43825,0.46395,0.43345,,0.43345,0.46035,0.42485,,0.42485,0.45575,0.41355,,0.41355,0.45055,0.40135,,0.40135,0.46925,0.43825,,0.43825,0.46835,0.43345,,0.43345,0.46615,0.42485,,0.42485,0.46275,0.41355,,0.41355,0.45875,0.40135,,0.40135
8,F,9.0,-1.92491587494071e-18,-1.6721340607706114e-18,3.0169626640312324e-19,-1.6721340607706114e-18,-6.526985461107422e-19,2.894635165729014e-18,-6.231009074187071e-19,2.8748063389975104e-18,0.40935,0.38405,,0.38405,0.40755,0.37765,,0.37765,0.40505,0.36975,,0.36975,0.40205,0.36175,,0.36175,0.39885,0.35435,,0.35435,0.40935,0.38405,,0.38405,0.40845,0.37765,,0.37765,0.40675,0.36975,,0.36975,0.40445,0.36175,,0.36175,0.40175,0.35435,,0.35435
9,Ne,10.0,-2.168334568938854e-18,-2.168334568938854e-18,4.388730264993984e-19,4.388730264993984e-19,2.74876459586648e-19,3.554817921837205e-18,2.603809378825536e-19,3.534630736741575e-18,2.43575,,,2.43575,2.35665,,,2.35665,0.36165,0.32765,,0.32765,0.35925,0.32295,,0.32305,0.35675,0.31915,,0.31915,2.43195,,,2.43575,2.35225,,,2.35665,0.36165,0.32765,,0.32765,0.35985,0.32295,,0.32305,0.35785,0.31915,,0.31915
10,Na,11.0,-4.861820977583809e-19,-4.861820977583809e-19,-3.3447519788807035e-19,-3.3447519788807035e-19,-4.2798683557485864e-20,8.588719378413343e-19,-4.4316205331328005e-20,8.712043658560706e-19,2.07295,,,2.07295,1.8474500000000005,,,1.8474500000000005,1.6947500000000002,,,1.6947500000000002,1.61055,,,1.61055,0.32225,0.28545,,0.28545,2.07295,,,2.07295,1.89295,,,1.8474500000000005,1.7547500000000005,,,1.6947500000000002,1.63125,,,1.61055,0.32225,0.28545,,0.28545
11,Mg,12.0,-7.641116761685568e-19,-7.641116761685568e-19,-1.7979305603293442e-19,-1.7979305603293442e-19,1.1480800565159472e-19,1.2413687905812202e-18,1.199677810122624e-19,1.243055139954163e-18,1.41945,2.31285,,2.31285,1.37525,2.08635,,2.08635,1.33075,,,1.33075,1.27825,,,1.27825,1.2429500000000002,,,1.2429500000000002,1.4079500000000005,2.31285,,2.31285,1.37135,2.08635,,2.08635,1.33075,,,1.33075,1.28865,,,1.27825,1.25825,,,1.2429500000000002
