,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,atomic_radius_neg_charged_s,atomic_radius_neg_charged_p,atomic_radius_neg_charged_d,atomic_radius_neg_charged,atomic_radius_neg_half_charged_s,atomic_radius_neg_half_charged_p,atomic_radius_neg_half_charged_d,atomic_radius_neg_half_charged,atomic_radius_s,atomic_radius_p,atomic_radius_d,atomic_radius,atomic_radius_half_charged_s,atomic_radius_half_charged_p,atomic_radius_half_charged_d,atomic_radius_half_charged,atomic_radius_charged_s,atomic_radius_charged_p,atomic_radius_charged_d,atomic_radius_charged
0,H,1.0,-1.047773842527955e-18,-1.047773842527955e-18,-1.047773842527955e-18,-1.047773842527955e-18,-2.670807335980773e-19,2.0284780547772636e-18,-2.318173330869312e-19,2.052875312937524e-18,0.62155,,,0.62155,0.5901500000000001,,,0.5901500000000001,0.54015,,,0.54015,0.49405,,,0.49405,0.52775,,,0.52775
1,He,2.0,-2.530565874605664e-18,-2.530565874605664e-18,2.503849579453824e-19,2.503849579453824e-19,3.367774977181573e-19,4.3342805039753455e-18,3.265300040255232e-19,4.2981544140902986e-18,0.29745,,,0.29745,0.29675,,,0.29675,0.29605,,,0.29605,0.27865,,,0.27865,0.26445,,,0.26445
2,Li,3.0,-4.510175252850626e-19,-4.510175252850626e-19,-4.510175252850626e-19,-4.510175252850626e-19,-6.899861333441071e-20,8.523829421858119e-19,-6.698700451564799e-20,8.578550302515648e-19,2.04055,,,2.04055,1.84295,,,1.84295,1.67105,,,1.67105,1.5636500000000002,,,1.5636500000000002,1.4773500000000002,,,1.4773500000000002
3,Be,4.0,-8.939264346922559e-19,-8.939264346922559e-19,-3.0459300173352964e-19,-3.0459300173352964e-19,1.5853407131884053e-19,1.5286569442369709e-18,1.7386980906583678e-19,1.5228336301847425e-18,1.1743500000000002,,1.55875,1.55875,1.1298500000000002,1.3695500000000005,,1.3695500000000005,1.0855500000000002,,,1.0855500000000002,1.04625,,,1.04625,1.01805,,,1.01805
4,B,5.0,-1.5100242281014468e-18,-5.643106384950721e-19,-5.643106384950721e-19,-5.643106384950721e-19,2.3322427599484244e-20,1.3190101699538653e-18,4.1844046805433603e-20,1.29383773012704e-18,0.82035,,0.93155,0.93155,0.8149500000000001,0.8853500000000001,,0.8853500000000001,0.80445,0.84165,,0.84165,0.78945,0.7958500000000001,,0.7958500000000001,0.77225,0.74765,,0.74765
5,C,6.0,-2.2057582104475013e-18,-8.366806640310721e-19,-8.366806640310721e-19,-8.366806640310721e-19,-1.1581941761525542e-19,1.7375143360805942e-18,-9.63741280943616e-20,1.7127396250481664e-18,0.65085,,0.66905,0.66905,0.64785,0.65825,,0.65825,0.6424500000000001,0.6405500000000001,,0.6405500000000001,0.63475,0.6173500000000001,,0.6173500000000001,0.62555,0.5900500000000001,,0.5900500000000001
6,N,7.0,-1.1264807690247555e-18,-1.1264807690247555e-18,-1.1264807690247555e-18,-1.1264807690247555e-18,-2.775861941489115e-19,2.1724503586431825e-18,-2.5517226168833283e-19,2.1483762547735492e-18,0.5447500000000001,,0.53215,0.53215,0.54155,0.52795,,0.52795,0.53625,0.5175500000000001,,0.51765,0.52935,0.50255,,0.5024500000000001,0.52145,0.48475,,0.48465
7,O,8.0,-1.4369169088943426e-18,-1.4369169088943426e-18,5.022182835559679e-19,-1.4369169088943426e-18,-4.642323911671114e-19,2.6263680567285935e-18,-4.384548584013696e-19,2.6024074742823367e-18,0.46615,,0.44625,0.44625,0.46425,0.44265,,0.44265,0.46085,0.43465,,0.43465,0.45645,0.42365,,0.42365,0.45145,0.41135,,0.41135
8,F,9.0,-1.769392590359655e-18,-1.769392590359655e-18,2.7869862318816003e-19,-1.769392590359655e-18,-6.75966984411487e-19,3.0937483594990928e-18,-6.420867003751874e-19,3.074230865165108e-18,0.40795,,0.38615,0.38615,0.40655,0.38175,,0.38175,0.40435,0.37495,,0.37495,0.40165,0.36705,,0.36715,0.39875,0.35945,,0.35945
9,Ne,10.0,-2.1244669730613508e-18,-2.1244669730613508e-18,4.397333953447679e-19,4.397333953447679e-19,3.1507612940039663e-19,3.59111444074507e-18,3.145537337850432e-19,3.5684622982663885e-18,2.42235,,,2.42235,2.33985,,,2.33985,0.36035,0.32975,,0.32975,0.35835,0.32555,,0.32555,0.35605,0.32185,,0.32185
10,Na,11.0,-4.2213668951852153e-19,-4.2213668951852153e-19,-4.2213668951852153e-19,-4.2213668951852153e-19,-6.38236887852288e-20,8.177310805865945e-19,-6.195777210295679e-20,8.093955961788479e-19,2.14305,,,2.14305,1.95655,,,1.95655,1.80215,,,1.80215,1.6885500000000002,,,1.6885500000000002,0.32115,0.28705,,0.28705
11,Mg,12.0,-7.47689365805357e-19,-7.47689365805357e-19,-1.7019281372110082e-19,-1.7019281372110082e-19,1.3585685543308895e-19,1.2671297179079186e-18,1.4472301198024325e-19,1.2634925049290878e-18,1.4610500000000002,,2.16735,2.16735,1.41335,1.9740500000000003,,1.9740500000000003,1.3662500000000002,,,1.3662500000000002,1.31665,,,1.31665,1.2808500000000005,,,1.2808500000000005
12,Al,13.0,-1.2153358822377025e-18,-4.068839680885056e-19,-4.068839680885056e-19,-4.068839680885056e-19,5.76260496854165e-20,9.18463673669921e-19,6.32651482255296e-20,9.078942104723905e-19,1.1639500000000005,,1.5862500000000002,1.5862500000000002,1.13955,1.4927500000000002,,1.4927500000000002,1.11345,1.4017500000000005,,1.4017500000000005,1.08695,1.3219500000000002,,1.3219500000000002,1.06105,1.2571500000000002,,1.2571500000000002
13,Si,14.0,-1.7158414389860356e-18,-6.388711318972415e-19,-6.388711318972415e-19,-6.388711318972415e-19,-1.0387677385731704e-19,1.2368055462721548e-18,-9.722808823324801e-20,1.2263428356225988e-18,0.97505,,1.2687500000000005,1.2687500000000005,0.96395,1.19935,,1.19935,0.95115,1.14505,,1.14505,0.93725,1.1034500000000005,,1.1034500000000005,0.92315,1.07225,,1.07225
