,chemical_symbol,atomic_number,atomic_energy_hfomo,atomic_energy_hpomo,atomic_energy_lfumo,atomic_energy_lpumo,electron_affinity_energy_difference,ionization_energy_energy_difference,electron_affinity_half_charged_homo,ionization_energy_half_charged_homo,r_up_s_neg_1.0,r_up_p_neg_1.0,r_up_d_neg_1.0,r_up_val_neg_1.0,r_up_s_neg_0.5,r_up_p_neg_0.5,r_up_d_neg_0.5,r_up_val_neg_0.5,r_up_s_0.0,r_up_p_0.0,r_up_d_0.0,r_up_val_0.0,r_up_s_0.5,r_up_p_0.5,r_up_d_0.5,r_up_val_0.5,r_up_s_1.0,r_up_p_1.0,r_up_d_1.0,r_up_val_1.0,r_dn_s_neg_1.0,r_dn_p_neg_1.0,r_dn_d_neg_1.0,r_dn_val_neg_1.0,r_dn_s_neg_0.5,r_dn_p_neg_0.5,r_dn_d_neg_0.5,r_dn_val_neg_0.5,r_dn_s_0.0,r_dn_p_0.0,r_dn_d_0.0,r_dn_val_0.0,r_dn_s_0.5,r_dn_p_0.5,r_dn_d_0.5,r_dn_val_0.5,r_dn_s_1.0,r_dn_p_1.0,r_dn_d_1.0,r_dn_val_1.0
0,H,1.0,-1.2222989418316992e-18,-1.2222989418316992e-18,1.7866031716202878e-19,1.7866031716202878e-19,-9.599077231585659e-20,2.199568016061087e-18,-1.0940783490456962e-19,2.2419177346023366e-18,0.6214500000000001,,,0.6214500000000001,0.57475,,,0.57475,0.51835,,,0.51835,0.47875,,,0.47875,0.52775,,,0.52775,0.6214500000000001,,,0.6214500000000001,0.61305,,,0.57475,,,,2.77215,,,,2.16875,0.52775,,,0.52775
1,He,2.0,-2.530565874605664e-18,-2.530565874605664e-18,2.503849579453824e-19,2.503849579453824e-19,3.0554462195232724e-19,3.950219077512114e-18,2.8916243869860482e-19,4.016522205509453e-18,2.86495,,,2.86495,2.79135,,,2.79135,0.29605,,,0.29605,0.27545,,,0.27545,0.25975,,,0.25975,2.49185,,,2.86495,2.49605,,,2.79135,0.29605,,,0.29605,0.28325,,,0.27545,,,,1.1520500000000002
2,Li,3.0,-5.093607869314945e-19,-5.093607869314945e-19,-1.8501134528688e-19,-1.8501134528688e-19,-2.547826224278903e-20,8.959032948155273e-19,-3.1301724640569596e-20,9.0987610295232e-19,2.04055,,,2.04055,1.82945,,,1.82945,1.6261500000000002,,,1.6261500000000002,1.5468500000000005,,,1.5468500000000005,0.19055,,,0.19055,2.04055,,,2.04055,1.84445,,,1.82945,1.4670500000000002,,,1.6261500000000002,1.4868500000000002,,,1.5468500000000005,0.19055,,,0.19055
3,Be,4.0,-8.939264346922559e-19,-8.939264346922559e-19,-3.0459300173352964e-19,-3.0459300173352964e-19,1.353692377851607e-19,1.4441713844845813e-18,1.476549951963072e-19,1.4489989227917953e-18,1.1781500000000005,1.5657500000000002,,1.5657500000000002,1.1298500000000002,1.36715,,1.36715,1.0855500000000002,,,1.0855500000000002,1.0415500000000002,,,1.0415500000000002,1.0092500000000002,,,1.0092500000000002,1.1683500000000002,1.5657500000000002,,1.5657500000000002,1.1296500000000005,1.36715,,1.36715,1.0855500000000002,,,1.0855500000000002,1.05085,,,1.0415500000000002,0.99375,,,1.0092500000000002
4,B,5.0,-1.391163551134157e-18,-6.327203758499905e-19,-4.585093031639231e-19,-6.327203758499905e-19,-4.647861514726167e-20,1.3612362145986078e-18,-3.0508647213273595e-20,1.341854963452416e-18,0.81975,0.92605,,0.92605,0.8139500000000001,0.8814500000000001,,0.8814500000000001,0.80315,0.83845,,0.83845,0.7885500000000001,0.7936500000000001,,0.7936500000000001,0.77225,0.74755,,0.77225,0.82235,0.92605,,0.92605,0.8168500000000001,0.8814500000000001,,0.8814500000000001,0.80605,0.83845,,0.83845,0.7906500000000001,0.7936500000000001,,0.7936500000000001,0.77225,0.74755,,0.77225
5,C,6.0,-1.903020529240857e-18,-9.694818797759424e-19,-5.659112129392511e-19,-9.694818797759424e-19,-2.309303596181303e-19,1.867628528437077e-18,-2.150249199243264e-19,1.8482805628146053e-18,0.64925,0.66615,,0.66595,0.64595,0.65395,,0.65405,0.64025,0.63535,,0.63535,0.6325500000000001,0.61185,,0.61185,0.62375,0.58575,,0.58575,0.65735,0.66615,,0.66595,0.6536500000000001,0.65395,,0.65405,0.64715,0.63535,,0.63535,0.63825,0.61185,,0.61185,0.62795,0.58575,,0.58575
6,N,7.0,-1.3227425985428928e-18,-1.3227425985428928e-18,-6.463885446020354e-19,-6.463885446020354e-19,5.383023035356853e-20,2.382543017574388e-18,7.34389697676096e-20,2.365306162700006e-18,0.54225,0.52725,,0.52725,0.53895,0.52235,,0.52235,0.5336500000000001,0.51165,,0.51165,0.5266500000000001,0.49615,,0.49615,0.51905,0.47885,,0.47885,0.55015,0.52725,,0.52725,0.54845,0.52235,,0.52235,0.54455,0.51165,,0.51165,0.53585,0.49615,,0.49615,0.52625,0.47885,,0.47885
7,O,8.0,-1.6312112655221377e-18,-1.136858066997677e-18,4.716615710440706e-19,-1.136858066997677e-18,-2.6986800355947505e-19,2.1812502139173244e-18,-2.4653652970222075e-19,2.160850801943097e-18,0.46495,0.44325,,0.44325,0.46265,0.43835,,0.43845,0.45905,0.42965,,0.42965,0.45445,0.41825,,0.41825,0.44935,0.40595,,0.40595,0.46775,0.44325,,0.44325,0.46675,0.43835,,0.43845,0.46425,0.42965,,0.42965,0.46075,0.41825,,0.41825,0.45675,0.40595,,0.40595
8,F,9.0,-1.8899067135996098e-18,-1.6255027102222273e-18,2.663234109691008e-19,-1.6255027102222273e-18,-6.076556833462255e-19,2.845765033225993e-18,-5.789961894013247e-19,2.8258886824112453e-18,0.40795,0.38625,,0.38615,0.40615,0.38045,,0.38045,0.40375,0.37285,,0.37285,0.40075,0.36455,,0.36455,0.39775,0.35675,,0.35685,0.40795,0.38625,,0.38615,0.40695,0.38045,,0.38045,0.40525,0.37285,,0.37285,0.40295,0.36455,,0.36455,0.40045,0.35675,,0.35685
9,Ne,10.0,-2.1244669730613508e-18,-2.1244669730613508e-18,4.397333953447679e-19,4.397333953447679e-19,2.8354597619064865e-19,3.51051108299069e-18,2.764347476229696e-19,3.490026139618503e-18,2.43105,,,2.43105,2.35115,,,2.35115,0.36035,0.32975,,0.32975,0.35805,0.32515,,0.32515,0.35555,0.32125,,0.32115,2.31425,,,2.43105,2.25675,,,2.35115,0.36035,0.32975,,0.32975,0.35865,0.32515,,0.32515,0.35665,0.32125,,0.32115
