,chemical_symbol,atomic_number,periodic_number,ionization_energy_energy_difference,electron_affinity_energy_difference,atomic_energy_homo,atomic_energy_lumo,atomic_radius_s,atomic_radius_p,atomic_radius_d
0,Li,3,2.0,-5.32910013199,-0.698099970818,-2.8740000724799994,-0.977999985218,1.64999997616,2.0,6.92999982834
1,Be,4,2.0,-9.459400177,0.630500018597,-5.599999904630001,-2.0980000495900004,1.08000004292,1.21000003815,2.88000011444
2,B,5,2.0,-8.18999958038,-0.107400000095,-3.71499991417,2.24799990654,0.8100000023839999,0.829999983311,1.95000004768
3,C,6,2.0,-10.8516998291,-0.87239998579,-5.415999889369999,1.99199998379,0.6399999856949999,0.629999995232,1.62999999523
4,N,7,2.0,-13.5852003098,-1.86749994755,-7.2389998436,3.0569999218,0.540000021458,0.509999990463,1.53999996185
5,O,8,2.0,-16.433200836199997,-3.00589990616,-9.19699954987,2.54099988937,0.460000008345,0.430000007153,2.22000002861
6,F,9,2.0,-19.4043006897,-4.27349996567,-11.2939996719,1.25100004673,0.409999996424,0.370000004768,1.42999994755
7,Na,11,3.0,-5.223100185390001,-0.715699970722,-2.8190000057200004,-0.717999994755,1.71000003815,2.59999990463,6.57000017166
8,Mg,12,3.0,-8.037099838260001,0.692499995232,-4.78200006485,-1.35800004005,1.33000004292,1.89999997616,3.17000007629
9,Al,13,3.0,-5.78049993515,-0.3125,-2.7839999198900003,0.6949999928470001,1.09000003338,1.38999998569,1.94000005722
10,Si,14,3.0,-7.75769996643,-0.992999970913,-4.16300010681,0.439999997616,0.939999997616,1.12999999523,1.88999998569
11,P,15,3.0,-9.75059986115,-1.91999995708,-5.59600019455,0.1829999983309999,0.829999983311,0.97000002861,1.76999998093
12,S,16,3.0,-11.7951002121,-2.84489989281,-7.105999946589999,0.64200001955,0.7400000095370001,0.850000023842,2.36999988556
13,Cl,17,3.0,-13.9018001556,-3.97079992294,-8.699999809269999,0.574000000954,0.6800000071529999,0.7599999904629999,1.6699999570800002
14,K,19,4.0,-4.43319988251,-0.621299982071,-2.42600011826,-0.6970000267030001,2.13000011444,2.44000005722,1.78999996185
15,Ca,20,4.0,-6.4279999733,0.303900003433,-3.86400008202,-2.132999897,1.7599999904599997,2.31999993324,0.6800000071529999
16,Cu,29,4.0,-8.38879966736,-1.6384999752,-4.855999946590001,-0.64099997282,1.20000004768,1.67999994755,2.57999992371
17,Zn,30,4.0,-10.1354999542,1.08070003986,-6.21700000763,-1.1940000057200002,1.10000002384,1.54999995232,2.25
18,Ga,31,4.0,-5.81820011139,-0.1080999970439999,-2.73200011253,0.129999995232,0.990000009537,1.33000004292,2.16000008583
19,Ge,32,4.0,-7.566999912260001,-0.949000000954,-4.04600000381,2.17499995232,0.920000016689,1.15999996662,2.36999988556
20,As,33,4.0,-9.26189994812,-1.8392000198400005,-5.34100008011,0.0640000030398,0.850000023842,1.03999996185,2.01999998093
21,Se,34,4.0,-10.9460000992,-2.750999927520001,-6.65399980545,1.31599998474,0.800000011921,0.949999988079,2.18000006676
22,Br,35,4.0,-12.649600029,-3.73930001259,-8.001000404360001,0.7080000042919999,0.75,0.879999995232,1.87000000477
23,Rb,37,5.0,-4.28889989853,-0.590399980545,-2.3599998951,-0.704999983311,2.24000000954,3.20000004768,1.96000003815
24,Sr,38,5.0,-6.03159999847,0.343100011349,-3.64100003242,-1.3789999485,1.90999996662,2.54999995232,1.20000004768
25,Ag,47,5.0,-8.0580997467,-1.6665999889399998,-4.71000003815,-0.4790000021459999,1.32000005245,1.87999999523,2.97000002861
26,Cd,48,5.0,-9.5813999176,0.838699996471,-5.952000141139999,-1.30900001526,1.23000001907,1.7400000095400003,2.59999990463
27,In,49,5.0,-5.53739976883,-0.256300002337,-2.6970000267,0.368000000715,1.12999999523,1.5,3.1099998951
28,Sn,50,5.0,-7.04279994965,-1.03919994831,-3.86599993706,0.0080000003799799,1.05999994278,1.34000003338,2.02999997139
29,Sb,51,5.0,-8.46829986572,-1.84669995308,-4.99100017548,0.104999996722,1.0,1.23000001907,2.05999994278
30,Te,52,5.0,-9.86670017242,-2.66599988937,-6.10900020599,0.0989999994636,0.939999997616,1.1399999856899998,1.83000004292
31,I,53,5.0,-11.2571001053,-3.5134999752,-7.236000061039999,0.212999999523,0.899999976158,1.07000005245,1.7200000286099997
32,Cs,55,6.0,-4.0061998367300005,-0.569599986076,-2.22000002861,-0.547999978065,2.46000003815,3.16000008583,1.97000002861
33,Ba,56,6.0,-5.515699863430001,0.277999997139,-3.34599995613,-2.1289999485,2.15000009537,2.63000011444,1.35000002384
