,chemical_symbol,electronegativity,electronegativity_allen,atomic_number,zunger_radius_s,unfilled_electrons,thermal_conductivity,vdw_radius,melting_point,LogThermalConductivity.table,dft_lattice_consant_bcc,ionization_energy_2end,valence_electrons_s,unfilled_electrons_d,dipole_polarizability,atomic_weight,dft_energy_per_atom,fusion_heat,Herfindahl_Hirschman_Index_p,valence_electrons_f,IsDBlock.table,group_periodic_table,vaporization_heat,covalent_radius,zunger_radius_diff,specific_heat_capacity_molar,unfilled_electrons_f,density_ws,density,boiling_point,dft_volume_per_atom,unfilled_electrons_s,bulk_modulus,atomic_radius_miracle,dft_bandgap,is_metal,space_group,molar_volume,zunger_radius_sum,mendeleev_number,atomic_volume,dft_lattice_consant_fcc,specific_heat_capacity,ICSDVolume.table,is_alkali,electron_affinity,electrostatic_potential_work_function,is_metalloid,valence_electrons_p,IsFBlock.table,valence_electrons_d,ionization_energy_1st,dft_magnetic_moment,shear_modulus,atomic_radius,Herfindahl_Hirschman_Index_r,NValence.table,zunger_radius_p,unfilled_electrons_p,zunger_radius_d,is_nonmetal,periodic_number
0,H, 2.2 ,2.3,1,,1,0.1805,1.2, 14.01 ,-0.743522794,2.365120549,,1,0,0.666793,1.00794,-3.331290765,0.06,,0,0,1,0.452, 31 ,,28.836,0, 1.5 , 0.0899 ,20.13,6.615,1,,,7.853,0, 194 ,11.42,1.25, 92 , 18618.0519408073 ,2.979865165,14.304,32.02,0,72.8, 5.2 ,0,0,0,0,13.598443,0.0,,0.25,,1,,0,,1,1
1,He,,4.16,2,,0,0.1513,1.4,,-0.820161072,2.908733088,54.41776,2,0,0.2050522,4.002602,0.0011354,,3200,0,0,18,0.083, 28 ,,20.786,0,, 0.1785 ,4.07,12.305,0,,,18.098,0, 225 ,21.0,, 98 , 37236.0355633452 ,3.664774046,5.13,19.08,0,0,,0,0,0,0,24.587387,0.0,,,3900,2,,0,,1,1
2,Li, 0.98 ,0.912,3,0.985,1,85.0,1.82, 453.69 ,1.929418926,3.213570838,75.64,1,0,24.335,6.941,-1.86988691,3,2900,0,0,1,147, 128 ,0.36,24.86,0, 0.98 , 535 ,1615,16.5933333333,1, 11 ,152,0.0,1, 229 ,13.02,1.61, 1 , 21.5440580798753 ,4.048845545,3.582,21.63,1,59.6, 2.85 ,0,0,0,0,5.391719,0.0, 4.2 ,1.45,4200,1,0.625,0,,0,2
3,Be, 1.57 ,1.576,4,0.64,0,190.0,1.53, 1560 ,2.278753601,2.508239481,18.21114,2,0,5.6,9.012182,-3.755038695,7.895,8000,0,0,2,297, 96 ,0.2,16.443,0, 1.67 , 1848 ,2743,7.89,0, 130 ,112,0.0,1, 194 ,4.85,1.08, 67 , 8.09817645544979 ,3.160183721,1.825,8.11,1,0, 5.05 ,0,0,0,0,9.3227,0.0, 132 ,1.05,4000,2,0.44,0,,0,2
4,B, 2.04 ,2.051,5,0.48,5,27.0,1.92, 2348 ,1.431363764,2.429779429,25.1548,2,0,3.03,10.811,-6.67769815417,50.2,2900,0,0,13,507, 84 ,0.165,11.087,0, 1.75 , 2460 ,4273,7.1725,0, 320 ,88,1.524,0, 166 ,4.39,0.795, 72 , 7.29776726528474 ,3.061330249,1.026,7.75,0,26.7, 5.3 ,1,1,0,0,8.29802,0.0,,0.85,2000,3,0.315,5,,0,2
5,C, 2.55 ,2.544,6,0.39,4,140.0,1.7, 3823 ,2.146128036,2.242692341,24.3833,2,0,1.67,12.0107,-9.209713655,117.4,500,0,0,14,715, 76 ,0.14,8.517,0, 1.77 , 2260 ,4300,5.64,0, 33 ,77,4.496,0, 194 ,5.29,0.64, 77 , 8.82508971529172 ,2.825615289,0.709,5.67,0,153.9, 6.24 ,0,2,0,0,11.2603,0.0,,0.7,500,4,0.25,4,,1,2
6,N, 3.04 ,3.066,7,0.33,3,0.02583,1.55, 63.05 ,-1.587875594,3.091182017,29.6013,2,0,1.1,14.0067,-8.21144121,0.355,1300,0,0,15,2.79, 71 ,0.12,29.124,0, 1.65 , 1.251 ,77.21,14.76875,0,,72,6.437,0, 194 ,13.54,0.54, 82 , 18592.4989666188 ,3.894645292,1.04,22.68,0,7, 6.86 ,0,3,0,0,14.5341,0.0,,0.65,500,5,0.21,3,,1,2
7,O, 3.44 ,3.61,8,0.285,2,0.02658,1.52, 54.8 ,-1.575445023,2.630893787,35.1211,2,0,0.802,15.9994,-4.756791905,0.22,500,0,0,16,3.41, 66 ,0.105,29.378,0,, 1.429 ,90.1,9.105,0,,64,0.0,0, 12 ,17.36,0.465, 87 , 18592.1971664894 ,3.314718462,0.918,17.36,0,141,,0,4,0,0,13.61805,0.0,,0.6,500,6,0.18,2,,1,2
8,F, 3.98 ,4.193,9,0.25,1,0.0277,1.47, 53.5 ,-1.557520231,2.687689729,34.9708,2,0,0.557,18.9984032,-1.6980609575,0.255,1500,0,0,17,3.27, 57 ,0.095,31.304,0,, 1.696 ,84.88,9.7075,0,,,1.97,0, 15 ,11.2,0.405, 93 , 18601.6085673286 ,3.386276865,0.824,16.42,0,328,,0,5,0,0,17.4228,0.0,,0.5,1500,7,0.155,1,,1,2
9,Ne,,4.787,10,0.22,0,0.0491,1.54, 24.56 ,-1.308918508,2.934893568,40.96296,2,0,0.39432,20.1791,0.09403567,0.164,,0,0,18,1.75, 58 ,0.08,20.786,0,, 0.9 ,26.92,12.64,0,,,13.088,0, 225 ,13.23,0.36, 99 , 37232.1856895088 ,3.697734186,1.03,23.09,0,0,,0,6,0,0,21.56454,0.0,,,,8,0.14,0,,1,2
10,Na, 0.93 ,0.869,11,1.1,1,140.0,2.27, 370.87 ,2.146128036,3.88167309,47.2864,1,0,24.11,22.98976928,-1.26024138333,2.6,1100,0,0,1,97.7, 166 ,0.45,28.23,0, 0.82 , 968 ,1156,29.2433333333,1, 6.3 ,180,0.0,1, 229 ,23.78,2.65, 2 , 39.4383288822527 ,4.890601634,1.228,39.76,1,52.8, 2.7 ,0,0,0,0,5.139076,0.0, 3.3 ,1.8,500,1,1.55,0,,0,3
11,Mg, 1.31 ,1.293,12,0.9,0,160.0,1.73, 923 ,2.204119983,3.577326635,15.03527,2,0,10.7666666667,24.305,-1.54227231,8.48,5300,0,0,2,128, 141 ,0.23,24.869,0, 1.17 , 1738 ,1363,22.89,0, 45 ,160,0.0,1, 194 ,14.0,2.03, 68 , 23.2222930956267 ,4.50714913,1.023,23.48,1,0, 3.45 ,0,0,0,0,7.646235,0.0, 17 ,1.5,500,2,1.13,0,,0,3
