chemical_symbol,ionization_energy,oxidation_states,screening_constant,neutrons,mass_number,hardness,softness,Zeff_slater,Zeff_clementi,electrophilicity,valence_electrons,electron_p,electron_n,electron_configuration,electrons_per_shell,max_n,max_l,last_subshell,unpaired_electrons,spin_occupations,spin_only_magnetic_moment,oxides,ion_electron_affinity,atomic_number,atomic_radius_slater,atomic_volume,block_periodic_table,boiling_point,density,description,dipole_polarizability,electron_affinity,electronic_configuration,evaporation_heat,fusion_heat,group_periodic_table,lattice_constant,lattice_structure,melting_point,chemical_name,periodic_number,chemical_series,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,proton_affinity,gas_phase_basicity,heat_of_formation,c6_coeeficient,covalent_radius_bragg,vdw_radius_bondi,vdw_radius_truhlar,vdw_radius_rt,vdw_radius_batsanov,vdw_radius_dreidingff,vdw_radius_uff,vdw_radius_mm3ff,abundance_crust,abundance_sea,vdw_radius_alvarez,c6_coefficient_gb,atomic_weight,atomic_weight_uncertainty,atomic_radius_rahm,metallic_radius_r,metallic_radius_r12,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,mendeleev_number,dipole_polarizability_uncertainty,pettifor_number,glawe_number,electronegativity_allen,electronegativity_allred-rochow,electronegativity_cottrell-sutton,electronegativity_ghosh,electronegativity_gordy,electronegativity_li-xue,electronegativity_martynov-batsanov,electronegativity_mulliken,electronegativity_nagle,electronegativity_pauling,electronegativity_sanderson
H,{1: 13.598434005136},"[1, -1]","{(1, 's'): 0.0}",0,1,6.422119502568,0.07785591653971341,1.0,1.0,2.00476999140139,1,0,2,"OrderedDict([((1, 's'), 1)])",{'K': 1},1,s,"((1, 's'), 1)",1,"OrderedDict([((1, 's'), {'pairs': 0, 'alpha': 1, 'beta': 0, 'unpaired': 1})])",1.7320508075688772,['H2O'],13.598434005136,1,25.0,14.1,s,20.28,8.2e-05,"Colourless, odourless gaseous chemical element. Lightest and most abundant element in the universe. Present in water and in all organic compounds. Chemically reacts with most elements. Discovered by Henry Cavendish in 1776.",4.50711,0.754195,1s,0.904,0.117,1.0,3.75,HEX,14.01,Hydrogen,1,1,,0.1815,110.00000000000001,31.0,32.0,,,217.998,6.499026705,,120.0,,110.00000000000001,,319.5,288.6,162.0,1400.0,108000.0,120.0,6.51,1.008,,154.0,,78.0,,,105,3e-05,103.0,103.0,13.61,0.0009765625,0.1767766952966369,0.2638,0.03125,"{('I', ''): -3.540721753312244, ('II', ''): -21.244330519873465}",3.6876054568155743,6.799217002568,0.6053881942690544,2.2,2.18777076624058
He,"{1: 24.587387936, 2: 54.41776311}",[0],"{(1, 's'): 0.3125}",2,4,22.143693968,0.02257979182346691,1.7,1.6875,0.0674191963846371,2,1,3,"OrderedDict([((1, 's'), 2)])",{'K': 2},1,s,"((1, 's'), 2)",0,"OrderedDict([((1, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0})])",0.0,[],24.587387936,2,120.0,31.8,s,4.216,0.000164,"Colourless, odourless gaseous nonmetallic element. Belongs to group 18 of the periodic table. Lowest boiling point of all elements and can only be solidified under pressure. Chemically inert, no known compounds. Discovered in the solar spectrum in 1868 by Lockyer.",1.38375,-19.7,1s2,0.08,,18.0,3.57,HEX,0.95,Helium,1,2,5.188,0.152,140.0,28.000000000000004,46.0,177.8,148.5,,1.42,,140.0,,,,,236.20000000000002,153.0,0.008,7.000000000000001e-06,143.0,1.47,4.002602,2e-06,134.0,,122.0,,,112,2e-05,1.0,1.0,24.59,0.0008034026465028355,0.1922407910385578,0.442712,0.03695652173913044,{},6.2851074392567075,12.293693968,1.1306394133057651,,1.0
Li,"{1: 5.391714761, 2: 75.6400937, 3: 122.4543538}",[1],"{(1, 's'): 0.3094000000000001, (2, 's'): 1.7208}",4,7,2.3868328805,0.20948261777559335,1.3,1.2792,0.9457422835847783,1,2,4,"OrderedDict([((1, 's'), 2), ((2, 's'), 1)])","{'K': 2, 'L': 1}",2,s,"((2, 's'), 1)",1,"OrderedDict([((1, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0}), ((2, 's'), {'pairs': 0, 'alpha': 1, 'beta': 0, 'unpaired': 1})])",1.7320508075688772,['Li2O'],5.391714761,3,145.0,13.1,s,1118.15,0.534,Socket silvery metal. First member of group 1 of the periodic table. Lithium salts are used in psychomedicine.,164.1125,0.618049,[He] 2s,148.0,2.89,1.0,3.49,BCC,553.69,Lithium,2,3,3.489,84.8,182.0,128.0,133.0,,,159.3,1392.0,150.0,181.0,,,220.00000000000003,,245.1,254.99999999999997,20.0,0.18,212.0,1410.0,6.94,,220.00000000000003,123.0,155.0,124.0,,1,0.0005,12.0,12.0,5.392,7.34920006783877e-05,0.0988657478109864,0.105093,0.009774436090225564,"{('IV', ''): 1.7160634314550876, ('VI', ''): 1.3919181166246821, ('VIII', ''): 1.1818172688322772}",2.3220066238062285,2.6958573805,0.18264990313234755,0.98,0.04886792741108169
Be,"{1: 9.322699, 2: 18.211153, 3: 153.896198, 4: 217.7185766}",[2],"{(1, 's'): 0.3151999999999999, (2, 's'): 2.088}",5,9,5.8613495,0.08530458727977235,1.9500000000000002,1.912,0.5110145863657444,2,3,5,"OrderedDict([((1, 's'), 2), ((2, 's'), 2)])","{'K': 2, 'L': 2}",2,s,"((2, 's'), 2)",0,"OrderedDict([((1, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0}), ((2, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0})])",0.0,['BeO'],9.322699,4,105.0,5.0,s,3243.0,1.85,Grey metallic element of group 2 of the periodic table. Is toxic and can cause severe lung diseases and dermatitis. Shows high covalent character. It was isolated independently by F. Wohler and A.A. Bussy in 1828.,37.74,-2.4,[He] 2s2,309.0,12.21,2.0,2.29,HEX,1551.0,Beryllium,2,4,1.824,201.0,153.0,96.0,102.0,,,324.0,227.0,114.99999999999999,,153.0,,190.0,,274.5,223.0,2.8,5.6e-06,198.0,214.0,9.0121831,5e-07,219.0,89.0,112.0,90.0,85.0,75,0.03,77.0,77.0,9.323,0.00018742791234140717,0.13826657968874304,0.144986,0.01911764705882353,{},3.710380842986337,4.6613495,0.37561480338427883,1.57,0.12684726097522822
B,"{1: 8.298019, 2: 25.15483, 3: 37.93058, 4: 259.3715, 5: 340.226008}",[3],"{(1, 's'): 0.3205, (2, 'p'): 2.5786, (2, 's'): 2.4238}",6,11,4.009148,0.12471477730430507,2.6,2.4214,1.1470276511768214,3,4,6,"OrderedDict([((1, 's'), 2), ((2, 's'), 2), ((2, 'p'), 1)])","{'K': 2, 'L': 3}",2,p,"((2, 'p'), 1)",1,"OrderedDict([((1, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0}), ((2, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0}), ((2, 'p'), {'pairs': 0, 'alpha': 1, 'beta': 0, 'unpaired': 1})])",1.7320508075688772,['B2O3'],8.298019,5,85.0,4.6,p,3931.0,2.34,"An element of group 13 of the periodic table. There are two allotropes, amorphous boron is a brown power, but metallic boron is black. The metallic form is hard (9.3 on Mohs' scale) and a bad conductor in room temperatures. It is never found free in nature. Boron-10 is used in nuclear reactor control rods and shields. It was discovered in 1808 by Sir Humphry Davy and by J.L. Gay-Lussac and L.J. Thenard.",20.5,0.279723,[He] 2s2 2p,504.5,23.6,13.0,8.73,TET,2573.0,Boron,2,5,1.025,27.4,192.0,84.0,85.0,,,565.0,99.5,,,192.0,,180.0,401.99999999999994,408.3,215.0,10.0,4.44,191.0,99.2,10.81,,204.99999999999997,80.0,98.0,78.0,73.0,81,0.1,86.0,86.0,12.13,0.00035986159169550173,0.17489492643904125,0.184886,0.03058823529411765,{},4.877958213569827,4.1490095,0.526973930630441,2.04,0.2546273629910441
C,"{1: 11.260296, 2: 24.3845, 3: 47.88778, 4: 64.49358, 5: 392.0905, 6: 489.993177}","[4, 2, -4]","{(1, 's'): 0.32730000000000015, (2, 'p'): 2.8642, (2, 's'): 2.7834}",6,12,4.9990885,0.10001823332393495,3.25,3.1358,1.960493365843406,4,5,7,"OrderedDict([((1, 's'), 2), ((2, 's'), 2), ((2, 'p'), 2)])","{'K': 2, 'L': 4}",2,p,"((2, 'p'), 2)",2,"OrderedDict([((1, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0}), ((2, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0}), ((2, 'p'), {'pairs': 0, 'alpha': 2, 'beta': 0, 'unpaired': 2})])",2.8284271247461903,"['CO2', 'CO']",11.260296,6,70.0,5.3,p,5100.0,2.2,"Carbon is a member of group 14 of the periodic table. It has three allotropic forms of it, diamonds, graphite and fullerite. Carbon-14 is commonly used in radioactive dating. Carbon occurs in all organic life and is the basis of organic chemistry. Carbon has the interesting chemical property of being able to bond with itself, and a wide variety of other elements.",11.3,1.262119,[He] 2s2 2p2,,,14.0,3.57,DIA,3820.0,Carbon,2,1,0.711,1.59,170.0,73.0,75.0,,,716.87,46.6,77.0,170.0,,177.0,170.0,389.83,385.1,204.0,200.0,28.0,177.0,47.9,12.011,,190.0,,86.0,67.0,60.0,87,0.2,95.0,87.0,15.05,0.0005777777777777778,0.20816659994661327,0.22477600000000003,0.043333333333333335,{},6.083300009041146,5.630148,0.7073926058302301,2.55,0.427525037037037
N,"{1: 14.53413, 2: 29.60125, 3: 47.4453, 4: 77.4735, 5: 97.89013, 6: 552.06731, 7: 667.04609}","[5, 4, 3, 2, -3, 1, -2, -1]","{(1, 's'): 0.3349000000000002, (2, 'p'): 3.166, (2, 's'): 3.1526}",7,14,7.967065,0.06275836835773274,3.9000000000000004,3.834,1.353269450990578,5,6,8,"OrderedDict([((1, 's'), 2), ((2, 's'), 2), ((2, 'p'), 3)])","{'K': 2, 'L': 5}",2,p,"((2, 'p'), 3)",3,"OrderedDict([((1, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0}), ((2, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0}), ((2, 'p'), {'pairs': 0, 'alpha': 3, 'beta': 0, 'unpaired': 3})])",3.872983346207417,"['N2O5', 'NO2', 'N2O3', 'NO', 'N2O']",14.53413,7,65.0,17.3,p,77.4,0.001145,"Colourless, gaseous element which belongs to group 15 of the periodic table. Constitutes ~78% of the atmosphere and is an essential part of the ecosystem. Nitrogen for industrial purposes is acquired by the fractional distillation of liquid air. Chemically inactive, reactive generally only at high temperatures or in electrical discharges. It was discovered in 1772 by D. Rutherford.",7.4,-1.4,[He] 2s2 2p3,,,15.0,4.039,HEX,63.29,Nitrogen,2,1,,0.026,155.0,71.0,71.0,342.2,318.7,472.44,24.2,65.0,155.0,,164.0,160.0,366.21000000000004,366.0,193.0,19.0,0.5,166.0,25.7,14.007,,179.0,,53.0,60.0,54.0,93,0.2,100.0,88.0,18.13,0.0007736560206308273,0.23437059855022074,0.26493,0.054929577464788736,{},7.306768232262469,7.267065,0.8774979183239392,3.04,0.5774819510384563
O,"{1: 13.618054, 2: 35.12111, 3: 54.93554, 4: 77.4135, 5: 113.8989, 6: 138.1189, 7: 739.32679, 8: 871.40985}",[-2],"{(1, 's'): 0.3421000000000003, (2, 'p'): 3.5468, (2, 's'): 3.5084}",8,16,6.0784702500000005,0.08225753839956688,4.55,4.4532,2.337978174823841,6,7,9,"OrderedDict([((1, 's'), 2), ((2, 's'), 2), ((2, 'p'), 4)])","{'K': 2, 'L': 6}",2,p,"((2, 'p'), 4)",2,"OrderedDict([((1, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0}), ((2, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0}), ((2, 'p'), {'pairs': 1, 'alpha': 3, 'beta': 1, 'unpaired': 2})])",2.8284271247461903,[],13.618054,8,60.0,14.0,p,90.19,0.0013080000000000001,"A colourless, odourless gaseous element belonging to group 16 of the periodic table. It is the most abundant element present in the earth's crust. It also makes up 20.8% of the Earth's atmosphere. For industrial purposes, it is separated from liquid air by fractional distillation. It is used in high temperature welding, and in breathing. It commonly comes in the form of Oxygen, but is found as Ozone in the upper atmosphere. It was discovered by Priestley in 1774.",5.3,1.4611135,[He] 2s2 2p4,,,16.0,6.83,CUB,54.8,Oxygen,2,1,,0.027,152.0,66.0,63.0,485.2,459.6,249.229,15.6,65.0,152.0,,158.0,155.0,340.46,350.0,182.0,461000.0,857000.0,150.0,16.7,15.999,,171.0,,,57.0,53.0,99,0.2,101.0,97.0,21.36,0.001146384479717813,0.26874192494328497,0.304575,0.07222222222222222,{},8.496136416042294,6.809027,1.0422177377665125,3.44,0.9416494074114066
F,"{1: 17.42282, 2: 34.97081, 3: 62.708, 4: 87.175, 5: 114.249, 6: 157.1631, 7: 185.1868, 8: 953.898, 9: 1103.11743}",[-1],"{(1, 's'): 0.3498999999999999, (2, 'p'): 3.9000000000000004, (2, 's'): 3.8724}",10,19,7.010815150000001,0.07131838299858753,5.2,5.1,3.865807423136221,7,8,10,"OrderedDict([((1, 's'), 2), ((2, 's'), 2), ((2, 'p'), 5)])","{'K': 2, 'L': 7}",2,p,"((2, 'p'), 5)",1,"OrderedDict([((1, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0}), ((2, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0}), ((2, 'p'), {'pairs': 2, 'alpha': 3, 'beta': 2, 'unpaired': 1})])",1.7320508075688772,[],17.42282,9,50.0,17.1,p,85.01,0.001553,"A poisonous pale yellow gaseous element belonging to group 17 of the periodic table (The halogens). It is the most chemically reactive and electronegative element. It is highly dangerous, causing severe chemical burns on contact with flesh. Fluorine was identified by Scheele in 1771 and first isolated by Moissan in 1886.",3.74,3.4011897000000006,[He] 2s2 2p5,6.54,0.51,17.0,,MCL,53.53,Fluorine,2,6,,0.028,147.0,56.99999999999999,64.0,340.1,315.1,79.335,9.52,67.0,147.0,,146.0,150.0,347.2,336.4,171.0,585.0,1.3,146.0,10.2,18.998403163,6.000000000000001e-09,163.0,,,59.0,53.0,106,0.08,102.0,102.0,24.8,0.00126953125,0.2850438562747845,0.344443,0.08125,{},9.701807858037888,8.71141,1.2323729180642682,3.98,1.017681322991848
Ne,"{1: 21.56454, 2: 40.96296, 3: 63.42331, 4: 97.19, 5: 126.247, 6: 157.934, 7: 207.271, 8: 239.0969, 9: 1195.80779, 10: 1362.1991}",[0],"{(1, 's'): 0.3579000000000008, (2, 'p'): 4.2416, (2, 's'): 4.2416}",10,20,,,5.8500000000000005,5.7584,,8,9,11,"OrderedDict([((1, 's'), 2), ((2, 's'), 2), ((2, 'p'), 6)])","{'K': 2, 'L': 8}",2,p,"((2, 'p'), 6)",0,"OrderedDict([((1, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0}), ((2, 's'), {'pairs': 1, 'alpha': 1, 'beta': 1, 'unpaired': 0}), ((2, 'p'), {'pairs': 3, 'alpha': 3, 'beta': 3, 'unpaired': 0})])",0.0,[],21.56454,10,160.0,16.8,p,27.1,0.000825,"Colourless gaseous element of group 18 on the periodic table (noble gases). Neon occurs in the atmosphere, and comprises 0.0018% of the volume of the atmosphere. It has a distinct reddish glow when used in discharge tubes and neon based lamps. It forms almost no chemical compounds. Neon was discovered in 1898 by Sir William Ramsey and M.W. Travers.",2.6611,,[He] 2s2 2p6,1.74,,18.0,4.43,FCC,48.0,Neon,2,2,1.029,,154.0,57.99999999999999,67.0,198.8,174.4,,6.2,,154.0,,181.0,,,324.3,160.0,0.005,0.00011999999999999999,158.0,6.91,20.1797,0.0006000000000000001,156.0,,,96.0,,113,3e-05,2.0,2.0,28.31,0.0013031855647137448,0.2954884648100851,0.38439,0.08731343283582091,{},10.918388789102538,,1.4432545345333592,,1.0
