,chemical_symbol,atomic_weight,atomic_number,orbitals_energy,atomic_radius,atomic_radius_empirical,boiling_point,hardness_brinell,bulk_modulus,coefficient_linear_thermal_expansion,common_oxidation_states,critical_temperature,density_solid_phase,electrical_resistivity,electron_configuration,ionic_radius,liquid_range,melting_point,mendeleev_number,hardness_mineral,molar_volume,chemical_name,oxidation_states,poisson_ratio,reflectivity,refractive_index,shear_modulus,atomic_radius_shannon,superconduction_temperature,thermal_conductivity,vdw_radius,sound_velocity,hardness_vickers,electronegativity_pauling,youngs_modulus,metallic_radius,iupac_ordering,ionization_energy,electron_affinity,ICSD_oxidation_states,NMR_quadrupole_moment
0,H,1.00794,1,{'1s': -0.23347099999999998},0.25,0.53,20.28 ,,,,"[-1, 1]",33 ,,,1s<sup>1</sup>,,6.27 ,14.01 ,103.0,,11.42 ,Hydrogen,"[-1, 1]",,,1.000132 (gas; liquid 1.12)(no units),,"{'1': {'I': {'': {'crystal_radius': -0.24, 'ionic_radius': -0.38}}, 'II': {'': {'crystal_radius': -0.04, 'ionic_radius': -0.18}}}}",,0.1805 ,1.1,1270 ,,2.2,,,92.0,[13.598434599702],0.754598,"[1, -1]",{'H-2': 2.86}
1,He,4.002602,2,{'1s': -0.570425},,0.31,4.22 ,,,,,5.19 ,,,1s<sup>2</sup>,,3.27 ,0.95 ,1.0,,21.0 ,Helium,,,,1.000035 (gas; liquid 1.028)(no units),,,,0.1513 ,1.4,970 ,,,,,5.0,"[24.587389011, 54.417765486]",-0.52,,
2,Li,6.941,3,"{'1s': -1.878564, '2s': -0.10554000000000001}",1.45,1.67,1615 ,,11 ,46 ,[1],3223 ,535 ,9.5 ,[He].2s<sup>1</sup>,{'1': 0.9},1161.31 ,453.69 ,12.0,0.6,13.02 ,Lithium,[1],,,,4.2 ,"{'1': {'IV': {'': {'crystal_radius': 0.73, 'ionic_radius': 0.59}}, 'VI': {'': {'crystal_radius': 0.9, 'ionic_radius': 0.76}}, 'VIII': {'': {'crystal_radius': 1.06, 'ionic_radius': 0.92}}}}",,85 ,1.82,6000 ,,0.98,4.9 ,1.52,11.0,"[5.391714996, 75.640097, 122.45435914]",0.6180492200000001,[1],"{'Li-6': -0.808, 'Li-7': -40.1}"
3,Be,9.012182,4,"{'1s': -3.856411, '2s': -0.20574399999999998}",1.05,1.12,2742 ,600 ,130 ,11.3 ,[2],,1848 ,3.8 ,[He].2s<sup>2</sup>,{'2': 0.59},1182 ,1560 ,77.0,5.5,4.85 ,Beryllium,[2],0.032,,,132 ,"{'2': {'III': {'': {'crystal_radius': 0.30000000000000004, 'ionic_radius': 0.16}}, 'IV': {'': {'crystal_radius': 0.41000000000000003, 'ionic_radius': 0.27}}, 'VI': {'': {'crystal_radius': 0.59, 'ionic_radius': 0.45}}}}",0.026 ,190 ,1.53,13000 ,1670,1.57,287 ,1.12,17.0,"[9.322699, 18.21115, 153.896205, 217.7185861]",-0.52,[2],{'Be-9': 52.88}
4,B,10.811,5,"{'1s': -6.564347, '2p': -0.136603, '2s': -0.344701}",0.85,0.87,4200 ,,320 ,6 ,[3],,2460 ,&gt; 10<sup>12</sup>,[He].2s<sup>2</sup>.2p<sup>1</sup>,{'3': 0.41000000000000003},1851 ,2349 ,86.0,9.3,4.39 ,Boron,"[1, 2, 3]",,,,,"{'3': {'III': {'': {'crystal_radius': 0.15, 'ionic_radius': 0.01}}, 'IV': {'': {'crystal_radius': 0.25, 'ionic_radius': 0.11}}, 'VI': {'': {'crystal_radius': 0.41000000000000003, 'ionic_radius': 0.27}}}}",,27 ,1.92,16200 ,49000,2.04,,,81.0,"[8.298019, 25.15483, 37.93059, 259.3715, 340.2260229]",0.27972325,"[3, -3]","{'B-10': 84.59, 'B-11': 40.59}"
5,C,12.0107,6,"{'1s': -9.947718, '2p': -0.199186, '2s': -0.5008659999999999}",0.7000000000000001,0.67,4300 ,,33 ,7.1 ,"[-4, 4]",,2267 ,about 1000 - direction dependent,[He].2s<sup>2</sup>.2p<sup>2</sup>,{'4': 0.30000000000000004},500 ,3800 ,95.0,0.5 (graphite; diamond is 10.0)(no units),5.29 ,Carbon,"[-4, -3, -2, -1, 1, 2, 3, 4]",,27 ,2.417 (diamond)(no units),,"{'4': {'III': {'': {'crystal_radius': 0.06, 'ionic_radius': -0.08}}, 'IV': {'': {'crystal_radius': 0.29, 'ionic_radius': 0.15}}, 'VI': {'': {'crystal_radius': 0.30000000000000004, 'ionic_radius': 0.16}}}}",,140 ,1.7000000000000002,18350 ,,2.55,,,86.0,"[11.260288, 24.383154, 47.88778, 64.49352, 392.090518, 489.993198]",1.262113612,"[2, 3, 4, -4, -3, -2]",{'C-11': 33.27}
6,N,14.0067,7,"{'1s': -14.011501, '2p': -0.266297, '2s': -0.676151}",0.65,0.56,77.36 ,,,,"[-3, 3, 5]",126.2 ,,,[He].2s<sup>2</sup>.2p<sup>3</sup>,"{'-3': 1.32, '3': 0.30000000000000004, '5': 0.27}",14.31 ,63.05 ,100.0,,13.54 ,Nitrogen,"[-3, -2, -1, 1, 2, 3, 4, 5]",,,1.000298 (gas; liquid 1.197)(no units),,"{'-3': {'IV': {'': {'crystal_radius': 1.32, 'ionic_radius': 1.46}}}, '3': {'VI': {'': {'crystal_radius': 0.30000000000000004, 'ionic_radius': 0.16}}}, '5': {'III': {'': {'crystal_radius': 0.044, 'ionic_radius': -0.10400000000000001}}, 'VI': {'': {'crystal_radius': 0.27, 'ionic_radius': 0.13}}}}",,0.02583 ,1.55,333.6 ,,3.04,,,91.0,"[14.53413, 29.60125, 47.4453, 77.4735, 97.8901, 552.06733, 667.046121]",-0.07,"[1, 3, 5, -1, -3, -2]",{'N-14': 20.44}
7,O,15.9994,8,"{'1s': -18.758245, '2p': -0.338381, '2s': -0.871362}",0.6000000000000001,0.48,90.2 ,,,,[-2],154.6 ,,,[He].2s<sup>2</sup>.2p<sup>4</sup>,{'-2': 1.26},35.4 ,54.8 ,101.0,,17.36 ,Oxygen,"[-2, -1, 1, 2]",,,1.000271 (gas; liquid 1.221)(no units),,"{'-2': {'II': {'': {'crystal_radius': 1.21, 'ionic_radius': 1.35}}, 'III': {'': {'crystal_radius': 1.22, 'ionic_radius': 1.3599999999999999}}, 'IV': {'': {'crystal_radius': 1.24, 'ionic_radius': 1.38}}, 'VI': {'': {'crystal_radius': 1.26, 'ionic_radius': 1.4}}, 'VIII': {'': {'crystal_radius': 1.28, 'ionic_radius': 1.42}}}}",,0.02658 ,1.52,317.5 ,,3.44,,,97.0,"[13.618055, 35.12112, 54.93554, 77.4135, 113.899, 138.1189, 739.32683, 871.409883]",1.4611053,[-2],{'O-17': -25.58}
8,F,18.9984032,9,"{'1s': -24.189391, '2p': -0.415606, '2s': -1.086859}",0.5,0.42,85.03 ,,,,[-1],144 ,,,[He].2s<sup>2</sup>.2p<sup>5</sup>,"{'-1': 1.19, '7': 0.22}",31.5 ,53.53 ,102.0,,11.20 ,Fluorine,[-1],,,1.000195,,"{'-1': {'II': {'': {'crystal_radius': 1.145, 'ionic_radius': 1.2850000000000001}}, 'III': {'': {'crystal_radius': 1.16, 'ionic_radius': 1.3}}, 'IV': {'': {'crystal_radius': 1.17, 'ionic_radius': 1.31}}, 'VI': {'': {'crystal_radius': 1.19, 'ionic_radius': 1.33}}}, '7': {'VI': {'': {'crystal_radius': 0.22, 'ionic_radius': 0.08}}}}",,0.0277 ,1.47,,,3.98,,,102.0,"[17.42282, 34.97081, 62.70798, 87.175, 114.249, 157.16311, 185.1868, 953.89805, 1103.11748]",3.4011898240000003,[-1],{'F-19': -94.2}
9,Ne,20.1797,10,"{'1s': -30.305855, '2p': -0.498034, '2s': -1.322809}",,0.38,27.07 ,,,,,44.4 ,,,[He].2s<sup>2</sup>.2p<sup>6</sup>,,2.51 ,24.56 ,2.0,,13.23 ,Neon,,,,1.000067,,,,0.0491 ,1.54,936 ,,,,,4.0,"[21.564541, 40.96297, 63.4233, 97.19, 126.247, 157.934, 207.271, 239.097, 1195.80784, 1362.19916]",-1.22,,{'Ne-21': 101.55}
