MatFeaLib Name,Unit
atomic_weight,amu
atomic_number,
orbitals_energy,eV
atomic_radius,A
atomic_radius_empirical,pm
boiling_point,K
hardness_brinell,MN m^{-2}
hardness_mineral,
bulk_modulus,Gpa
coefficient_linear_thermal_expansion,K^{-1}
common_oxidation_states,
oxidation_states,
ICSD_oxidation_states,
critical_temperature,K
density_solid_phase,Kg m^{-3}
electrical_resistivity,Ω m
electron_configuration,
ionic_radius,A
liquid_range,K
melting_point,K
mendeleev_number,
molar_volume,Cm^{3}
chemical_name,
poisson_ratio,
reflectivity,
refractive_index,
shear_modulus,Gpa
atomic_radius_shannon,
superconduction_temperature,K
thermal_conductivity,Wm^{-1}K^{-1}
vdw_radius,
sound_velocity,Ms^{-1}
hardness_vickers,MN m^{-2}
electronegativity_pauling,
youngs_modulus,Gpa
metallic_radius,
iupac_ordering,
ionization_energy,
electron_affinity,
NMR_quadrupole_moment,
